Gene ID/title,logFC,adj.P.Val,"LEC control, rep1","LEC control, rep2","LEC control, rep3","LEC control, rep4","LEC control, rep5","LEC control, rep6","LEC KSHV 72h, rep1","LEC KSHV 72h, rep2","LEC KSHV 72h, rep3","LEC KSHV 72h, rep4","LEC KSHV 72h, rep5","LEC KSHV 72h, rep6"
4312,8.6748,3.8861e-21,4.3596,4.5544,4.4692,4.6885,4.4268,4.3076,13.276,13.077,13.165,13.094,13.156,13.086
81606,6.2549,5.4599e-18,4.8841,5.0933,5.1160,5.4438,5.1503,5.1231,11.438,11.413,11.518,11.265,11.298,11.408
5367,6.2385,5.0743e-17,5.4718,5.9010,5.7475,5.6433,5.9349,5.6616,12.119,12.126,12.057,11.656,11.832,12.002
81848,4.0592,5.0743e-17,7.0143,7.1955,7.0218,6.9099,6.9940,7.0626,10.949,11.048,11.258,11.135,11.034,11.130
5999,-4.1225,3.2814e-16,11.392,11.483,11.462,11.499,11.519,11.812,7.5041,7.4924,7.2673,7.3008,7.3851,7.4819
11080,-2.3538,4.7033e-16,11.178,11.125,11.077,11.181,11.189,11.150,8.8300,8.7684,8.8273,8.7256,8.8363,8.7887
6781,3.6783,5.3564e-16,7.7419,7.7043,7.6569,8.0034,7.9514,7.8831,11.594,11.438,11.371,11.512,11.536,11.560
7076,2.4093,6.1732e-16,11.596,11.601,11.577,11.562,11.564,11.553,13.992,13.961,14.063,13.869,13.963,14.061
760,4.8026,6.9449e-16,8.2042,7.6427,7.8867,7.9030,7.7326,7.7754,12.641,12.686,12.904,12.469,12.595,12.665
2321,3.4340,1.1311e-15,6.5853,6.5792,6.5545,6.4453,6.6374,6.3070,10.040,10.006,10.075,9.8374,9.7985,9.9561
1604,3.2972,2.3458e-15,9.4539,9.3330,9.3315,9.1816,9.1190,9.0729,12.564,12.469,12.452,12.592,12.670,12.528
3142,3.8863,3.1429e-15,6.1828,6.0663,6.0325,6.2805,6.1358,6.6052,10.085,10.174,10.163,10.065,10.060,10.075
8644,-3.6111,1.0616e-14,9.9646,9.9179,9.9099,9.7526,9.6902,9.7182,6.2904,6.2746,6.1211,5.9002,6.2570,6.4436
4860,2.2361,1.0887e-14,10.726,10.605,10.722,10.793,10.917,10.807,13.027,13.003,12.957,12.969,13.026,13.003
55859,-2.5704,1.3936e-14,9.5514,9.6941,9.6734,9.9585,9.7467,9.6429,7.1421,7.1291,7.0936,7.1590,7.2137,7.1071
