Gene ID/title,logFC,adj.P.Val,"LEC control, rep1","LEC KSHV 72h, rep1","LEC control, rep2","LEC KSHV 72h, rep2","LEC control, rep3","LEC KSHV 72h, rep3","LEC control, rep4","LEC KSHV 72h, rep4","LEC control, rep5","LEC KSHV 72h, rep5","LEC control, rep6","LEC KSHV 72h, rep6"
4312,8.6748,3.8861e-21,4.3596,13.276,4.5544,13.077,4.4692,13.165,4.6885,13.094,4.4268,13.156,4.3076,13.086
81606,6.2549,5.4599e-18,4.8841,11.438,5.0933,11.413,5.1160,11.518,5.4438,11.265,5.1503,11.298,5.1231,11.408
5367,6.2385,5.0743e-17,5.4718,12.119,5.9010,12.126,5.7475,12.057,5.6433,11.656,5.9349,11.832,5.6616,12.002
81848,4.0592,5.0743e-17,7.0143,10.949,7.1955,11.048,7.0218,11.258,6.9099,11.135,6.9940,11.034,7.0626,11.130
5999,-4.1225,3.2814e-16,11.392,7.5041,11.483,7.4924,11.462,7.2673,11.499,7.3008,11.519,7.3851,11.812,7.4819
11080,-2.3538,4.7033e-16,11.178,8.8300,11.125,8.7684,11.077,8.8273,11.181,8.7256,11.189,8.8363,11.150,8.7887
6781,3.6783,5.3564e-16,7.7419,11.594,7.7043,11.438,7.6569,11.371,8.0034,11.512,7.9514,11.536,7.8831,11.560
7076,2.4093,6.1732e-16,11.596,13.992,11.601,13.961,11.577,14.063,11.562,13.869,11.564,13.963,11.553,14.061
760,4.8026,6.9449e-16,8.2042,12.641,7.6427,12.686,7.8867,12.904,7.9030,12.469,7.7326,12.595,7.7754,12.665
2321,3.4340,1.1311e-15,6.5853,10.040,6.5792,10.006,6.5545,10.075,6.4453,9.8374,6.6374,9.7985,6.3070,9.9561
1604,3.2972,2.3458e-15,9.4539,12.564,9.3330,12.469,9.3315,12.452,9.1816,12.592,9.1190,12.670,9.0729,12.528
3142,3.8863,3.1429e-15,6.1828,10.085,6.0663,10.174,6.0325,10.163,6.2805,10.065,6.1358,10.060,6.6052,10.075
8644,-3.6111,1.0616e-14,9.9646,6.2904,9.9179,6.2746,9.9099,6.1211,9.7526,5.9002,9.6902,6.2570,9.7182,6.4436
4860,2.2361,1.0887e-14,10.726,13.027,10.605,13.003,10.722,12.957,10.793,12.969,10.917,13.026,10.807,13.003
55859,-2.5704,1.3936e-14,9.5514,7.1421,9.6941,7.1291,9.6734,7.0936,9.9585,7.1590,9.7467,7.2137,9.6429,7.1071
64399,-2.7908,1.7515e-14,10.183,7.1035,10.092,7.1693,10.177,7.4395,9.9291,7.2934,9.9370,7.2460,10.044,7.3660
57088,-4.0028,1.8248e-14,11.555,7.4979,11.420,7.3903,11.536,7.6242,11.224,7.0298,11.296,7.2105,11.301,7.5625
359845,2.9276,2.2856e-14,8.4773,11.276,8.5283,11.301,8.5272,11.344,8.4601,11.351,8.3321,11.360,8.0549,11.313
161742,2.5370,3.3165e-14,7.0451,9.4677,6.7748,9.3418,6.9053,9.6726,7.0845,9.5072,6.9571,9.4426,6.8834,9.4401
116441,2.0997,3.5916e-14,9.7331,11.710,9.7366,11.669,9.7043,11.830,9.5358,11.707,9.5157,11.724,9.5629,11.748
6617,-2.2472,4.4618e-14,10.286,8.0725,10.291,7.9658,10.199,8.0719,10.449,8.1326,10.334,8.1932,10.258,7.8982
1404,2.8257,4.4618e-14,8.1725,10.861,8.1346,10.858,8.4028,10.888,8.0289,11.104,8.1034,11.138,8.0049,10.953
22795,3.7542,5.6764e-14,7.9764,11.644,8.0458,11.728,7.9399,11.809,7.8390,11.361,7.8195,11.410,7.4455,11.639
83483,4.1893,5.6764e-14,8.3439,12.199,7.7395,12.249,8.1005,12.251,7.8053,11.878,7.6451,11.890,7.8263,12.129
285,3.9907,6.3435e-14,8.9356,12.760,8.9787,12.717,8.8897,12.846,8.6661,12.659,8.6792,12.651,8.1966,12.657
64332,2.3534,1.1731e-13,8.2322,10.385,8.2061,10.500,8.0619,10.678,8.2733,10.502,8.3502,10.607,8.0133,10.584
8727,-2.1467,1.3448e-13,10.685,8.5116,10.734,8.4928,10.859,8.4028,10.598,8.4990,10.570,8.6918,10.635,8.6019
5906,2.7145,1.9205e-13,7.2767,9.9548,7.3262,9.8196,7.2187,9.6786,7.0054,9.8067,6.8920,9.9044,6.9473,9.7894
22800,-1.6323,2.1377e-13,10.749,9.2712,10.697,9.0844,10.730,9.0941,10.842,9.1021,10.831,9.1886,10.800,9.1140
8436,-2.1316,2.2224e-13,10.093,7.7589,9.9196,7.9146,10.040,8.1120,10.046,7.9045,9.9570,7.7827,10.152,7.9453
6515,1.8334,2.6344e-13,8.0482,9.8490,7.9701,9.7177,8.1161,9.8070,7.9538,9.7942,7.9630,9.8726,7.7874,9.7984
