"","p.geomean","stat.mean","p.val","q.val","set.size","GSM410672","GSM410673","GSM410674","GSM410675","GSM410676","GSM410677"
"GO:0001775 cell activation",0.0098834381883889,2.30171603991008,9.61790927756896e-09,3.05849515026693e-06,263,0.000911590731060995,0.00834199340671277,0.00486449720792948,0.0216297030640111,0.0301315213138284,0.0386606351639823
"GO:0002474 antigen processing and presentation of peptide antigen via MHC class I",0.0154549293389088,2.23905366710543,9.59465822630967e-08,1.52555065798324e-05,17,0.0100319991645884,0.0457738834127675,0.0142959624584599,0.0674563740800922,0.0115911716869777,0.00265480829139539
"GO:0006022 aminoglycan metabolic process",0.0227307473628565,1.97919010731202,9.56283709257772e-07,0.000101366073181324,45,0.0516261981072244,0.00170590244121877,0.0118380866771762,0.0436688272339256,0.116029769736119,0.0261117200981644
"GO:0006029 proteoglycan metabolic process",0.0288224249336934,1.93719457729047,1.81257821194698e-06,0.000144099967849785,29,0.0205699332262112,0.0184347072767132,0.0653475781184563,0.020803269150565,0.0328138372417424,0.0338918962762929
"GO:0006505 GPI anchor metabolic process",0.0435377268272498,1.70353176079381,2.14376437646531e-05,0.00113619511952661,30,0.112338564804306,0.00654689202006677,0.0315698402913765,0.126927837751284,0.0449782710677137,0.0513805119609479
"GO:0006506 GPI anchor biosynthetic process",0.0435377268272498,1.70353176079381,2.14376437646531e-05,0.00113619511952661,30,0.112338564804306,0.00654689202006677,0.0315698402913765,0.126927837751284,0.0449782710677137,0.0513805119609479
"GO:0002237 response to molecule of bacterial origin",0.0503781687688996,1.67521784751652,3.01142677921771e-05,0.00136804816541605,25,0.041920217960651,0.0770770557173033,0.0391535683278118,0.0393793864535632,0.0515034768660651,0.0637131051163823
"GO:0002520 immune system development",0.051182126360046,1.62185281798518,3.6818087636566e-05,0.0014635189835535,246,0.03426646762622,0.0321796604599879,0.0513753313416223,0.0360734016176246,0.142798221145261,0.0616019731574736
"GO:0001822 kidney development",0.0582386922584096,1.56497076862556,7.5679417105969e-05,0.00267400607107757,52,0.0805004227881502,0.0342412937189642,0.149108686418329,0.0338331180699312,0.0276512240985064,0.101475693840563
"GO:0002682 regulation of immune system process",0.0624430918968018,1.51343506397545,0.000107655151904195,0.00342343383055339,258,0.021765260528599,0.067278622097732,0.0664804890475192,0.0468578812506884,0.0702085302345246,0.185096711269827
