Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"8534"	8.319720061	7.324006511	8.348806762	8.160621095	8.037719957	8.026033039	9.624083165	9.777886066	9.851314816	9.657411436	9.664879811	9.761216789
"56548"	7.529454604	6.996837134	7.123235939	7.158859606	7.08444827	6.722863902	8.767259805	8.727905598	8.696060098	8.590600735	8.646270389	8.743584497
"50515"	6.598901297	6.457233404	6.084424227	6.515640356	6.161709542	6.593806729	7.549768705	7.57145448	7.699014694	7.575792555	7.640591913	7.605708058
"2517"	6.468039487	6.254434291	6.523442336	5.907312412	6.298580463	5.880082768	7.398898041	7.48976949	7.438543308	7.023426492	6.956020641	7.402670268
"3423"	4.778238898	4.617411787	4.846423674	4.989243448	5.051637709	4.587298899	5.766305271	5.505657437	6.332642996	5.651276154	5.374176357	5.893338073
"10894"	8.178955679	8.05620933	7.967972092	8.012705001	7.839133418	7.963564847	9.128421909	8.857569137	8.798527573	8.556494484	8.681982563	8.897577133
"8692"	11.55802952	11.4793245	11.58332488	11.44126949	11.28947439	11.53442746	12.11000184	12.16078766	12.27771341	12.06004828	12.05182518	12.21000909
"55501"	9.631467195	9.731400594	9.637843935	9.153805365	9.331152887	9.235946251	10.0201102	10.14346283	10.06572206	9.861618864	9.866189856	10.05322519
"3074"	10.65582915	10.66414741	10.64132561	10.62795513	10.61068882	10.63187903	11.27669396	11.32152447	11.20719454	10.99792998	11.06854421	11.24613383
"26229"	7.612497323	7.625212312	7.492091897	7.407298842	7.482870655	7.456124715	8.054255949	8.01306086	8.120472855	7.926583376	7.922741714	7.977599738
"2296"	6.620480674	6.163190803	6.435600695	6.235377363	6.425438274	6.164218354	6.677194214	6.803157794	6.968696511	6.684850129	6.783383707	6.792298281
"3373"	7.157804928	6.982395385	6.922133748	6.774088745	6.853116043	6.988726371	5.89214618	6.028971117	6.0965944	6.128334958	6.021754759	6.198319705
