Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"10894"	8.178955679	8.05620933	7.967972092	8.012705001	7.839133418	7.963564847	9.128421909	8.857569137	8.798527573	8.556494484	8.681982563	8.897577133
"11227"	6.733871498	7.070700758	6.786320619	6.937987953	6.9344965	6.901414513	6.980710776	6.972652786	6.935562842	6.979136274	6.985265974	7.019147491
"11285"	7.91394424	7.771198639	7.709057441	7.748611371	7.710954786	7.853948124	7.722540491	7.717028981	7.561904478	7.624146222	7.547312444	7.478610298
"126792"	9.929055618	9.898928061	9.990563256	9.760271198	9.737686341	9.633967322	10.1217271	10.16275237	10.05741401	9.962354421	10.03570315	10.07600817
"138050"	6.792562033	6.695268725	6.875202926	6.75577661	6.908316268	6.69358033	6.965665623	7.06020357	7.013596248	6.929776639	6.834477111	7.371231139
"166012"	5.507327287	5.764050912	5.49660098	5.508234679	5.600084718	5.719080664	5.619116421	5.485660836	5.459841774	5.278981788	5.218499555	5.475958088
"2131"	9.662454188	9.680030006	9.718700321	9.639659379	9.513700817	9.465153588	10.00611429	9.915019096	10.13543901	9.968326308	9.882008971	9.961440438
"2132"	10.10417036	10.04888615	10.22994479	10.00983284	9.993267653	9.943714675	9.937473692	10.02744616	9.991341328	9.736460093	9.77324586	9.962562437
"2296"	6.620480674	6.163190803	6.435600695	6.235377363	6.425438274	6.164218354	6.677194214	6.803157794	6.968696511	6.684850129	6.783383707	6.792298281
"23553"	6.576142809	6.556320836	6.873137276	6.382217107	6.350924131	6.473096042	6.711567697	7.045678044	6.833523731	6.605557113	6.73791565	6.774713811
"2517"	6.468039487	6.254434291	6.523442336	5.907312412	6.298580463	5.880082768	7.398898041	7.48976949	7.438543308	7.023426492	6.956020641	7.402670268
"2588"	8.588968295	8.306621303	8.59896731	8.510114419	8.54357819	8.466921463	8.825235451	9.054328691	8.880738425	8.609310347	8.703290149	8.80158547
"26229"	7.612497323	7.625212312	7.492091897	7.407298842	7.482870655	7.456124715	8.054255949	8.01306086	8.120472855	7.926583376	7.922741714	7.977599738
"2651"	6.591212828	6.16055483	6.35333772	6.275992386	6.479505229	6.561698247	6.049706145	6.013895804	6.310135262	5.823652433	5.886375239	6.005159733
"2799"	9.760587435	9.690683956	9.572291507	9.558747604	9.602300131	9.950831883	9.603980775	9.56860708	9.637253392	9.173648212	9.093681955	9.535201471
"285362"	10.10705445	10.16434266	10.24974104	10.06244407	10.11376991	9.939961538	9.701726091	9.821015125	9.729376066	9.553036377	9.634080956	9.748854252
"2990"	9.743418106	9.700467744	9.740026617	9.348014866	9.422767128	9.342500391	9.631253225	9.693889441	9.593553573	9.524380277	9.589249055	9.630672835
"29940"	3.504505617	3.759149015	3.672910809	3.70866165	3.762353366	3.730477853	3.481423901	3.704012735	3.394914579	3.349716558	3.274104795	3.247561124
"3036"	5.995213251	5.92717649	5.960583226	6.061574669	5.717113952	5.721220801	5.899457683	5.889261301	5.754901408	5.714225139	5.823718059	5.897565445
"3073"	5.049437719	5.65267928	5.10487595	5.31270051	5.385342633	5.270415948	5.33512725	5.457996391	5.527888268	5.507311231	5.561922425	5.481389371
"3074"	10.65582915	10.66414741	10.64132561	10.62795513	10.61068882	10.63187903	11.27669396	11.32152447	11.20719454	10.99792998	11.06854421	11.24613383
"3373"	7.157804928	6.982395385	6.922133748	6.774088745	6.853116043	6.988726371	5.89214618	6.028971117	6.0965944	6.128334958	6.021754759	6.198319705
"3423"	4.778238898	4.617411787	4.846423674	4.989243448	5.051637709	4.587298899	5.766305271	5.505657437	6.332642996	5.651276154	5.374176357	5.893338073
"3425"	6.31344841	5.745594941	6.100310096	6.152120668	6.329027098	6.204299381	6.287684731	6.44079983	6.39200044	6.078427606	6.112199629	6.559150604
"347365"	5.739140861	5.638635888	5.487173139	5.534579395	5.566405568	5.580019485	5.479476779	5.470231754	5.234845215	5.355534375	5.315706105	5.475455043
"3698"	6.806391778	6.562601014	6.910304804	6.664625534	6.446522766	6.884765597	6.502493591	7.062125469	7.137616628	6.858903545	6.63971104	6.893409419
"3699"	5.893393826	5.875817072	5.996818022	5.667761834	5.998937755	5.868601879	5.769097941	5.840909081	5.581049789	5.586557852	5.544995606	5.494951164
