Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"2207"	3.994841803	4.416680587	4.058717145	4.159696065	4.19772446	4.377949417	4.49745485	4.256709939	4.245041342	4.277625755	4.414563071	4.539972029
"26133"	8.845501519	8.800768289	8.728787959	8.750594102	8.599807909	8.732643182	8.56192898	8.5673377	8.590194874	8.463595411	8.504098834	8.466154013
"3077"	4.412085921	4.345522957	4.439371923	4.395292673	4.215037808	4.041525368	4.2799612	3.761774802	3.912918677	4.082619666	4.214664863	3.922773776
"3105"	12.59384201	12.58650062	12.55031053	12.55552888	12.40695523	12.30050931	12.91249702	12.91712797	12.89863671	12.70713811	12.76625358	12.87248877
"3106"	11.53543851	11.56438448	11.48607178	11.29297998	11.17073556	11.02540547	11.9762519	12.14184749	12.04272937	11.60434395	11.88477955	12.01138167
"3107"	12.3785185	12.39762911	12.37197044	12.1495672	12.13636031	11.91846402	12.9645385	13.05074207	13.01044416	12.68000723	12.73214481	12.98214382
"3133"	9.940419237	9.685465881	9.780094428	9.767901294	9.566293973	9.421365318	10.03872659	10.30598556	10.4220248	9.928462102	9.911955251	10.14295026
"3134"	10.45909948	10.48107621	10.3991907	10.18524979	10.1314227	10.08952004	10.81104079	10.86379409	10.78165545	10.51366582	10.65917701	10.8635498
"3135"	9.923301964	9.925386858	9.928063586	9.746338972	9.814374804	9.62269363	10.26971991	10.34435759	10.22922931	10.21993249	10.17687698	10.29849641
"3140"	4.900317345	5.062668584	4.731574684	4.794458655	4.688242557	4.822353307	4.825836083	4.796220316	4.68388298	4.894807521	4.760606893	4.687868633
"51752"	7.258481485	7.525447705	7.290638674	7.651080616	7.575726692	7.184970878	7.401451859	7.376788817	7.471069485	7.624517598	7.447431538	7.523015419
"55080"	6.628023818	6.500229742	6.13228048	6.310272621	6.325018029	5.839859943	6.731093979	6.508962833	6.68944319	6.451162725	6.548133407	6.615660514
"567"	13.19947089	13.29167427	13.21694999	13.29783217	13.35095799	13.29007589	13.6684151	13.56603612	13.6735472	13.61975233	13.62541888	13.56555194
"64167"	3.122149213	3.114629444	3.13552612	3.049491252	3.139717663	3.093641635	3.177647516	2.985783742	3.169870949	3.148974273	3.004916315	3.440848175
"6891"	7.338637402	7.146787937	7.191689689	7.303708642	7.368628276	6.905860769	8.179078842	7.916043852	7.871612562	7.689977942	7.824861721	7.959614702
"6892"	8.429849598	8.377302659	8.321380924	8.504501103	8.454255083	8.39134871	8.833517769	8.837429852	8.72043366	8.809779885	8.80158547	8.817640796
"811"	8.536408745	8.539579096	8.68285109	8.816383343	8.747299782	8.47831084	9.061160663	9.010891084	8.768053903	8.768109221	8.870433945	8.900941703
