Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"100"	8.347114566	8.312563947	8.320855893	8.163819227	8.114252773	8.243056704	7.817978335	7.880576768	7.73233196	7.512769277	7.404271063	7.642796266
"100133941"	3.646681885	3.890184143	3.764648709	3.630943486	3.565662662	3.768844246	3.507030847	3.551974494	3.542526868	3.44922314	3.494835911	3.315800415
"10014"	7.176387192	7.448833206	7.365580783	7.087484256	7.060319125	6.833210098	8.115355867	8.335327692	8.534591289	8.025336566	8.16199699	7.870825244
"10148"	6.411550889	6.699576686	6.652860041	6.378962978	6.532241373	6.587243919	6.545510668	6.543769092	6.852103432	6.340293547	6.32577295	6.415944223
"102"	11.25261372	11.20808736	11.27595026	11.09145115	11.16609699	10.95938152	11.5911756	11.52307362	11.58748626	11.420627	11.46700234	11.59748963
"10202"	6.642721811	6.875306367	7.057205133	6.65257815	6.650986419	6.884268464	6.546524348	6.563569616	6.290360125	6.606203311	6.63971104	6.603453287
"1026"	10.7561866	10.82207352	10.86686341	10.97325154	10.94505534	10.83306383	10.96045887	10.94155527	10.98226341	11.03737484	11.09435167	11.06560911
"1029"	5.762679416	5.775916993	5.651092355	5.927350138	5.907392945	5.592803883	6.378348066	6.450238085	6.344922358	6.471816204	6.176314699	6.581043409
"10394"	6.222251317	6.51788475	6.146714754	6.196672627	6.386368059	6.135543125	6.462093651	6.520540744	6.455803645	6.359485054	6.614055076	6.378633821
"10397"	8.716235699	8.619471823	8.836141317	9.139742044	8.995286419	8.996070591	10.02822414	10.00516325	10.12037079	10.21892688	10.10443974	10.16160083
"10666"	4.780091038	4.871818007	4.898053548	4.763274025	4.788853637	5.048084398	4.687836767	4.928591864	4.525454934	4.441359732	4.447776083	4.729000434
"10672"	7.593672859	7.570618238	7.53863782	7.295810566	7.312584231	7.542208748	7.700339627	7.784465571	7.937383309	7.373178345	7.232663991	7.656584372
