Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"10000"	9.892787184	10.13835409	9.980777012	9.857698396	9.984550236	10.00735366	10.20131179	10.27032393	10.30132096	10.05567293	10.03454126	10.25737629
"10251"	5.066000561	5.333752362	4.901463427	5.305014321	5.181252463	5.155105963	5.521680722	5.411424523	5.457121778	5.423104503	5.325877639	5.667919185
"10252"	9.398593663	9.378910805	9.260732155	9.02711972	9.071410991	9.025054356	10.96004381	10.99185622	11.05711504	11.04227189	11.15572291	11.00666232
"10253"	7.801584237	7.626902796	7.878453631	8.250869724	8.028156503	8.199688637	8.90125064	8.83277538	8.835820073	9.149180815	9.212617336	8.989067839
"10254"	6.321291392	5.89827068	5.940417425	6.048713192	5.960660251	6.47007498	6.233042376	6.152525864	6.312093882	6.451076806	6.199760178	6.185180741
"10379"	8.869487575	8.545723561	8.78731718	8.681307307	8.655944641	8.633789027	9.628461004	9.429877743	9.485373981	9.290597803	9.201041153	9.430460563
"10401"	8.449270783	8.128872426	8.457725952	8.294904812	8.265427189	8.300789291	7.916217743	7.836729252	8.130066515	8.023752929	8.055754163	8.106485761
"11009"	5.249654097	5.527183313	5.229948919	5.472833043	5.395400306	5.618138118	5.787448115	5.688643499	5.680394529	5.735281877	5.847878403	5.783339652
"1154"	7.132473498	7.341452627	7.220444333	7.205852507	7.208268936	7.215568497	7.113252035	7.27851757	7.16016855	7.277287292	7.334209545	7.344698238
"116379"	4.97463102	4.91442037	4.934000618	5.044539635	4.951413252	5.147532892	5.115156179	4.876568084	4.987021076	4.947448771	4.888951395	5.011178668
"122809"	4.776608545	4.43819693	4.707567784	4.650954291	5.171881253	5.145240931	5.122976041	5.049889884	5.153703172	4.812862449	5.221172263	5.189965977
"1270"	5.473511845	5.227359483	5.228441635	5.17274358	5.159012957	5.248038614	5.097409349	5.109395824	5.274483496	5.321767121	5.334660897	5.42514024
"1271"	7.406718217	7.747799024	7.481828944	7.569911574	7.63280481	7.630186729	7.32795967	7.313671128	7.312159824	7.266056023	7.468134853	7.39299195
"1387"	8.060659484	8.075222406	8.046597687	8.010430393	7.987549104	8.03959185	7.781538333	7.654362155	8.000934457	7.825818844	7.836873312	7.89039411
"1437"	6.954401693	6.984734469	7.414901986	6.912709145	7.043523095	7.130964796	6.944116836	6.946536001	6.782240639	6.783595049	6.81979022	6.738140004
"1438"	3.914955722	4.258280351	4.114233423	4.12986081	4.114227774	3.867419029	4.135556945	4.235154279	4.041338844	4.475369016	4.132362935	4.012031613
"1439"	5.736356445	5.065067214	5.506991156	5.133793379	5.640157197	5.194945655	6.776719597	7.016384885	7.178432407	6.328063544	6.417930076	7.043523095
"1440"	7.736939919	7.397705918	7.51127839	7.66067603	7.595882265	7.77526724	7.593781406	7.510963581	7.346213444	7.710693028	7.484474102	7.527831368
"1441"	7.038156217	7.236984027	7.053003672	7.133643798	7.20554403	7.150554147	7.223895414	7.297450178	7.25573178	7.381827413	7.36083715	7.418108431
"1442"	6.309484289	6.171954015	6.121150639	6.240798433	6.14083024	5.982637492	6.19055616	6.169971312	6.096093251	6.174609245	6.254780164	6.428822334
"1489"	6.964372656	7.022279954	7.137203121	6.989319716	6.792307093	7.243841873	6.723506003	6.790316172	6.50989544	6.773453742	6.743318937	6.748466946
"149233"	3.713657207	3.728052856	3.898334468	3.772867899	3.741951777	3.816995569	3.57294781	3.72419059	3.837219926	3.81227613	3.914459874	3.922186037
"161742"	8.168100704	7.675492095	7.981925075	8.121240013	8.17842855	8.012468167	10.60592799	10.4482549	10.74641242	10.61570087	10.69036499	10.57968552
"163702"	7.154792472	7.374835696	7.358945008	7.301072796	7.436139427	7.49275344	7.481013033	7.384688622	7.389768805	7.428204399	7.446710302	7.699291296
"200734"	7.542210325	7.103746184	7.451328136	7.329723947	7.301401824	7.083922615	8.552768177	8.626454817	9.077153581	8.678274844	8.65749366	8.702360283
"2033"	8.131616613	7.39725943	7.864724671	7.897702099	7.726517152	7.87091404	7.555584096	7.403534336	7.800277992	7.814630494	7.846689659	7.558995844
"2056"	6.095139159	6.241934152	6.085553032	6.10302825	6.242791405	6.322849994	6.009048615	5.835369051	5.480957198	5.818810938	5.795155323	5.601785563
"2057"	7.145898602	7.231051841	7.07089468	7.165264447	7.139843645	7.211883744	7.196461981	7.265450259	7.257966211	7.209431205	7.111881378	7.281187061
"207"	9.175794588	9.000704944	9.155873152	9.274182063	9.111308253	9.289276005	9.358622376	9.337398352	9.441472171	9.443814495	9.356483192	9.408178198
"208"	6.285079454	6.458904201	6.242415406	6.095851351	5.953156222	6.032141161	6.252486788	6.273341352	6.024675791	6.130703301	6.003820753	6.149691023
"23529"	8.148109541	8.169868332	8.296520314	8.138298147	8.201391332	8.159037479	7.887027799	7.982826366	7.777020619	8.071411814	7.908012184	7.92675925
"23533"	6.579973002	6.358336856	6.462364024	6.384640417	6.525849626	6.60609646	6.493287026	6.498341239	6.406806382	6.470873679	6.564721006	6.627333691
"23624"	5.964224197	6.222912691	6.152063271	5.804657723	5.915540447	6.191471942	5.624327204	6.018382548	5.390409771	5.711686288	5.8704916	5.527519875
"2688"	5.712772358	5.92081694	5.902972017	5.954703148	5.677553661	5.839062985	5.922554053	6.076596739	5.828552632	5.985485814	6.181519273	6.110361438
"2689"	6.729723478	7.183001814	6.939510654	7.103647668	7.01126826	7.136446619	7.040417849	6.908591279	6.965902727	7.021020645	6.988252982	6.992409608
"2690"	7.978045173	7.709452964	7.982783994	8.045831558	7.96591201	8.169025127	7.019505235	7.014962348	7.052056909	6.983995378	6.913684736	7.056225787
"282616"	5.777004912	5.667179202	5.776745726	5.860456249	5.857114005	5.854936617	5.960819515	6.195032184	6.053947227	6.122500676	6.026192704	6.093408704
"282618"	6.288333094	6.457651653	6.338685093	6.435563533	6.368124056	6.59854753	6.285850931	6.52049342	6.353808872	6.352624114	6.313490286	6.121945227
"2885"	8.791626367	8.633765108	8.66671791	9.003293931	8.818381797	8.80370834	9.10611762	9.163122574	9.136540796	9.350159289	9.333722602	9.149708975
