Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"1003"	12.05886042	12.00875758	12.07616111	11.96546232	11.91550717	11.96817309	11.66370424	11.73836658	11.97350326	11.82498052	11.6982217	11.77739459
"100506658"	5.535202452	5.463558122	5.515092878	5.39557992	5.299211292	5.176621396	5.050169824	5.250546948	5.30762839	5.353979335	5.199055811	5.155655413
"103910"	12.77284335	12.78594345	12.76877494	12.87269698	12.82181103	12.89479554	12.83440999	12.8150504	12.89685678	12.9017855	12.93092642	12.78533908
"10398"	9.063405774	9.029367763	9.050049338	8.761884182	8.788186468	8.065435837	7.551471274	7.420854508	7.522796337	7.274747647	7.315777039	7.516335252
"10411"	7.051752943	7.11083948	6.981957984	6.747692665	7.044761418	6.735844877	6.994394957	7.274671825	7.163605428	7.04503095	6.968376686	6.96756347
"10451"	6.457940327	5.913188028	6.350892828	6.030019269	6.149145505	5.901143426	6.192504889	6.19727552	6.566778537	6.036109504	5.705665979	6.35145219
"10627"	5.918963196	5.673177727	5.428620241	5.645966279	5.924670218	6.183114416	6.248065134	6.1877315	6.06590486	5.90830876	6.22282283	6.499747185
"10686"	7.044510754	7.281204878	7.118113881	6.944157149	7.040569783	6.956660874	7.068403687	6.798858532	6.914206528	6.896388311	7.085209279	6.957937807
"11069"	4.773871752	4.69968951	4.797306936	4.567206107	4.596474896	4.526774734	7.198071639	6.74667611	7.357776432	6.831959411	6.932150232	6.753839975
"1364"	6.272331915	6.285144796	6.501296178	6.359768599	6.479920135	6.575523679	6.616893565	6.647768594	6.509952953	6.617846824	6.59306879	6.631932922
"1365"	5.023123774	4.975459511	5.400455303	5.19009633	5.071045801	5.201247661	5.097585571	4.899898843	4.953041091	4.933789515	4.981192004	5.020276414
"1366"	6.811110027	6.947436473	6.604674276	6.7311555	6.513177812	6.45773901	6.552819645	6.707092447	6.51270042	6.243718	6.611040616	6.569970143
