Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"81848"	7.014349174	7.195493705	7.021836321	6.909891841	6.993962572	7.062612291	10.94875012	11.04764625	11.25819778	11.13525738	11.03368361	11.12971964
"3598"	4.27826148	4.823487762	4.26628377	4.574409801	4.384034671	4.395140318	7.63383708	6.356166065	6.496142726	7.484657426	7.962699526	7.374552873
"161742"	8.168100704	7.675492095	7.981925075	8.121240013	8.17842855	8.012468167	10.60592799	10.4482549	10.74641242	10.61570087	10.69036499	10.57968552
"10252"	9.398593663	9.378910805	9.260732155	9.02711972	9.071410991	9.025054356	10.96004381	10.99185622	11.05711504	11.04227189	11.15572291	11.00666232
"9021"	6.712162832	7.131727094	6.776327207	6.531261431	6.739050753	6.541320977	8.110552132	8.442783055	8.403516097	8.71420228	8.541675501	8.561958611
"1439"	5.736356445	5.065067214	5.506991156	5.133793379	5.640157197	5.194945655	6.776719597	7.016384885	7.178432407	6.328063544	6.417930076	7.043523095
"200734"	7.542210325	7.103746184	7.451328136	7.329723947	7.301401824	7.083922615	8.552768177	8.626454817	9.077153581	8.678274844	8.65749366	8.702360283
"3601"	7.841310205	7.758020536	7.528107463	7.397705918	7.710871159	7.461388579	8.934315005	8.977759019	9.020228195	8.7804301	8.945551348	9.148085455
"3716"	9.911272617	10.04376399	10.01632329	10.05707184	9.947824888	10.057786	11.35462443	11.23294589	11.53869935	11.20425802	11.12120829	11.31900889
"8835"	7.861806068	7.599736808	7.382648251	7.242845178	7.201703744	7.166726184	8.496292432	8.528044467	8.594396801	8.548750618	8.770045878	8.633159892
"3566"	8.644565322	8.767733191	8.829644501	8.61777727	8.545889865	8.44618473	9.651056448	9.814521937	9.936184951	9.506675802	9.455566729	9.703353641
"3563"	6.837975322	7.36122629	6.802533596	6.799695374	6.55470289	7.19643319	8.201733451	7.985715682	8.305066885	7.693089364	7.665798187	7.866111358
"10253"	7.801584237	7.626902796	7.878453631	8.250869724	8.028156503	8.199688637	8.90125064	8.83277538	8.835820073	9.149180815	9.212617336	8.989067839
"5295"	7.316684229	7.460442975	7.413647382	7.069969039	7.137108608	7.519667472	8.313655467	8.02246073	8.285905405	8.439699654	8.275297069	8.336336908
"6774"	9.633057103	9.782428427	9.683872312	9.693790692	9.55318302	9.702611933	10.52597235	10.50503792	10.61498183	10.43409479	10.33414448	10.44976486
"3455"	8.699409729	8.295796451	8.388122749	8.527383266	8.198581381	8.448662685	9.116411031	9.138335952	9.201099609	9.065520831	9.125271241	9.264814047
"10379"	8.869487575	8.545723561	8.78731718	8.681307307	8.655944641	8.633789027	9.628461004	9.429877743	9.485373981	9.290597803	9.201041153	9.430460563
"595"	9.474996532	9.478200301	9.403359119	9.756006365	9.618979228	9.914067187	10.32703999	9.971792383	10.20210711	10.59601884	10.43236292	10.15570178
"3572"	8.801316011	9.06295599	8.953558741	8.853061066	8.852453025	9.653161795	9.813179232	9.594132305	9.813681645	9.646108876	9.429588746	9.639362705
"3569"	6.611613562	6.728792239	6.722518426	6.593834617	6.496580766	6.625765838	7.509670202	6.916190178	6.921563071	7.285963687	7.416198426	7.317845245
"3454"	6.068987139	5.768197996	5.717221478	6.033130786	5.950958875	6.090187285	6.389050053	6.243890789	6.566778537	6.392576502	6.442753237	6.696054455
"3587"	5.752069304	5.259776074	5.315041431	5.733100622	5.42190964	5.549358861	5.930524565	6.159431622	5.975476502	5.822588478	6.073790812	6.123589038
"3953"	6.528888752	6.207273775	6.316034949	6.208233307	6.403546416	6.652401196	6.730959548	6.72347855	7.003776593	6.994657844	6.915562904	6.835322847
"2885"	8.791626367	8.633765108	8.66671791	9.003293931	8.818381797	8.80370834	9.10611762	9.163122574	9.136540796	9.350159289	9.333722602	9.149708975
"9180"	5.971914932	6.246263612	6.338685093	6.062417616	6.184095451	6.377267511	6.386341739	6.889760316	6.696724439	6.573854913	6.572439599	6.563846073
"2056"	6.095139159	6.241934152	6.085553032	6.10302825	6.242791405	6.322849994	6.009048615	5.835369051	5.480957198	5.818810938	5.795155323	5.601785563
"9655"	8.204800574	7.431454986	7.870519138	7.876689122	7.608081149	7.425917731	7.310526083	7.271824331	7.421043639	7.161502034	7.264479968	7.365257185
"8503"	8.868597379	8.943782497	8.783355479	8.831186851	8.749914895	8.919044849	8.500249402	8.086766117	8.300189297	8.284984544	8.107743271	8.354267599
"4609"	10.91338739	11.0674593	11.09839357	10.8893907	11.02714033	10.81080884	10.32020387	10.37523449	10.19028151	10.33938663	10.43768058	10.35736591
"894"	8.817726417	8.778806996	8.792551484	8.93031024	8.849807456	9.373829616	8.117307565	8.241772919	8.363409671	8.260882114	8.277433376	8.313244412
"2690"	7.978045173	7.709452964	7.982783994	8.045831558	7.96591201	8.169025127	7.019505235	7.014962348	7.052056909	6.983995378	6.913684736	7.056225787
"3575"	8.532519596	8.408345268	8.526526365	8.278079204	8.371592625	8.040478764	6.935832152	7.266634284	6.712074557	7.05079546	6.981467435	7.094464066
