Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"5906"	5.745951926	6.382555709	5.799974977	5.385275562	5.061377274	5.077012907	10.92045294	10.62100111	10.32219896	10.66820895	10.84836286	10.64358434
"4318"	6.560612465	6.658534414	6.160607531	6.429998323	6.694441282	6.578864392	11.90070598	11.40294909	10.46065841	7.421977958	7.737013791	10.79299363
"11069"	4.773871752	4.69968951	4.797306936	4.567206107	4.596474896	4.526774734	7.198071639	6.74667611	7.357776432	6.831959411	6.932150232	6.753839975
"6387"	7.950092334	7.874294557	7.432359854	8.055754163	7.845193245	7.824353382	10.07054823	9.577180404	9.931994735	10.61580856	10.39394686	9.987901831
"7852"	10.31962921	10.37714226	10.33766488	10.09323104	10.12293679	10.02446145	12.15920394	12.48288457	12.2786826	11.58079589	11.75161006	12.13320062
"3383"	7.899135247	7.881017448	8.452249849	7.6174556	7.426842226	7.601233659	9.81858802	9.6981858	10.5804557	8.356268471	8.513299646	9.767358863
"90952"	9.828789111	9.775513703	9.735315938	9.957599508	9.848693295	9.606091082	10.93771072	10.98440231	11.12528375	11.02653953	11.07325913	11.01812298
"1535"	10.10201685	10.18029888	10.10340911	10.1270187	10.10396547	10.16085801	11.25402987	11.33803281	11.26632032	11.27201924	11.3580609	11.45085264
"7122"	9.927667556	9.728892055	9.737415796	9.560921474	9.662371515	9.331915453	10.86847722	10.64409478	10.78112361	10.65935507	10.65290517	10.75405168
"5295"	7.316684229	7.460442975	7.413647382	7.069969039	7.137108608	7.519667472	8.313655467	8.02246073	8.285905405	8.439699654	8.275297069	8.336336908
"83700"	8.850290117	8.705111645	8.942422741	8.841463841	8.910196233	8.717720639	9.673247336	9.693354131	9.705018856	9.612447102	9.611690966	9.6391828
"5175"	8.786145417	8.786811678	8.781663437	8.797068789	8.64178584	8.445558627	9.546808799	9.658544708	9.708384166	9.321090766	9.289975691	9.522915585
"4267"	12.37367232	12.36379747	12.41122891	12.32441511	12.33281589	12.46616429	13.06780556	13.06313627	12.96816058	12.85658726	12.96090733	13.00310074
"6494"	7.930704122	7.849802462	8.03137676	7.888884097	7.775472656	8.05811775	8.370703345	8.388334882	8.643586976	8.594308513	8.524430707	8.660053173
"4633"	6.23631939	6.321678689	6.28324497	5.884993115	6.180348271	6.048129945	6.783033344	6.554956755	6.397421588	6.725768399	7.109965436	6.577869836
"1499"	6.006343242	6.127349073	6.293754206	5.750177193	6.170870995	6.153132146	6.586051836	6.648429066	6.950210105	6.619277143	6.057034655	6.779762601
"5879"	6.03090198	5.921785288	6.416786105	6.197972041	6.234089146	4.359443972	6.178157553	6.275427393	6.250051452	6.510764984	6.488892223	6.559150604
"3688"	11.59683205	11.66251195	11.66094459	11.58583093	11.74075451	11.89218329	12.26108431	12.15547286	12.21163519	12.01944942	12.09979195	12.23731781
"394"	5.887605062	5.638019378	5.831774667	5.693922181	5.567194661	5.596332009	5.963565457	6.135843	6.49283405	5.981994185	5.855768948	6.334193209
"2771"	11.02724779	11.06306739	11.0887069	11.3381596	11.13836515	10.5993093	11.34959104	11.55663892	11.52063495	11.43213168	11.46318153	11.45658146
"9076"	5.638661073	5.734333651	5.730015587	5.62393098	5.619881907	5.566303777	5.16552744	5.012266366	5.365496689	5.28054744	5.065318257	5.307114421
"87"	11.84580181	11.66796323	11.79266981	11.89080424	11.76454667	11.82419782	11.21887327	11.1663511	11.36227496	11.32872155	11.40225509	11.27291875
"9564"	9.076392778	8.960662499	9.083934619	8.938646555	8.973842096	9.036437526	8.633061482	8.368886505	8.297124102	8.459016026	8.607452119	8.502353461
"5829"	9.81155235	9.645439862	9.896367687	9.953025225	9.812735335	9.604153024	9.102134795	9.135736105	9.243971301	9.368606676	9.313152381	9.347393459
"8503"	8.868597379	8.943782497	8.783355479	8.831186851	8.749914895	8.919044849	8.500249402	8.086766117	8.300189297	8.284984544	8.107743271	8.354267599
"10398"	9.063405774	9.029367763	9.050049338	8.761884182	8.788186468	8.065435837	7.551471274	7.420854508	7.522796337	7.274747647	7.315777039	7.516335252
