Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"1520"	3.553406909	3.383258968	3.369428085	3.583200434	3.611016005	3.69260086	6.612603177	6.389182818	7.244149911	6.876833037	7.189055519	6.689922202
"55353"	8.166905915	7.933564388	7.844516066	7.484478532	7.744016406	7.436404269	9.508226674	9.340300403	9.133437528	8.915018852	9.058954805	9.194330092
"4864"	9.0944933	9.145516952	9.309958286	9.186540411	9.208852906	9.008969325	10.33084528	10.17270984	10.18760218	10.37632354	10.28959088	10.24034851
"2517"	6.468039487	6.254434291	6.523442336	5.907312412	6.298580463	5.880082768	7.398898041	7.48976949	7.438543308	7.023426492	6.956020641	7.402670268
"27074"	7.367730713	7.487166346	7.679600509	7.297393792	7.275062457	7.235512796	8.532972778	8.663814219	8.709383662	8.247260531	8.164493014	8.362280888
"5641"	9.086837615	8.847403821	8.928654691	8.755132648	8.819655078	8.400979547	9.856240936	9.885040982	9.930749659	9.630046842	9.727231094	9.736558715
"3423"	4.778238898	4.617411787	4.846423674	4.989243448	5.051637709	4.587298899	5.766305271	5.505657437	6.332642996	5.651276154	5.374176357	5.893338073
"537"	10.44362638	10.27341091	10.38965575	10.47916801	10.34681708	10.40779967	11.30086495	11.30249986	11.3498064	11.22272676	11.25491965	11.32989694
"533"	9.93345763	9.918830871	9.899904312	10.08129805	10.02169756	10.06119491	10.8898194	10.82360508	10.74391177	10.78003896	10.92171722	10.90181244
"2717"	9.001183252	8.820802802	8.831054864	8.97713063	8.992395867	8.755445143	9.809205338	9.667632695	9.618047365	9.713140705	9.857079532	9.774314476
"1514"	10.07365321	10.11997255	10.02911969	10.20991782	10.2599966	10.1458275	11.03860719	10.77743749	10.84395663	11.08592022	11.12685469	10.99051137
"4758"	8.351774115	7.876546587	8.174223321	8.496190521	8.417307878	8.026950702	9.052451565	9.042920553	9.024434169	8.910139537	8.906525838	9.045369413
"7805"	10.70732947	10.60174813	10.66756422	10.67058277	10.67234339	10.78246601	11.42149353	11.47565085	11.42291129	11.36255743	11.43257477	11.44370295
"2581"	7.932155847	7.548430347	7.850129935	7.693273858	7.630638049	7.395611725	8.490051203	8.464184415	8.520075373	8.163668073	8.154019623	8.501419858
"3482"	7.588934834	6.800586335	7.29372027	7.230184834	7.016715313	7.473407681	8.123431108	8.033308401	8.080776418	7.74848955	7.651441315	7.976708092
"4668"	8.943406591	8.820193982	8.696713823	8.853134678	8.905021867	8.943971949	9.610690829	9.477597038	9.319198735	9.540341563	9.509039927	9.574199999
"1211"	4.640207394	3.873250705	4.718047237	4.513470311	4.630212703	4.435703558	5.131734505	5.342188041	4.7974815	5.039611433	4.936941613	5.340812305
