Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"1017"	9.479579451	9.409870804	9.438640196	9.358968027	9.404170791	9.034326116	9.451134315	9.515339677	9.551782371	9.588721487	9.681244837	9.692130119
"1019"	10.80090286	10.78778416	10.76418351	10.94787211	10.85025918	10.64803056	10.44289062	10.4326762	10.35182182	10.36317815	10.40341543	10.38123563
"1021"	6.351891192	6.582667488	6.329769814	6.483814882	6.349422943	6.67775444	6.63923897	6.794483726	7.015210834	6.75636758	6.794249822	7.043523095
"1022"	9.413327139	9.04860973	9.306257794	9.362682451	9.354485991	9.158760703	9.201692119	9.124546532	9.081333844	9.174189343	9.229374059	9.093191435
"1026"	10.7561866	10.82207352	10.86686341	10.97325154	10.94505534	10.83306383	10.96045887	10.94155527	10.98226341	11.03737484	11.09435167	11.06560911
"1027"	8.889683295	8.768875497	8.703498122	8.631948191	8.710018071	8.482322883	8.000709051	8.078928017	8.097050584	8.235800107	8.176680625	8.111976383
"10274"	7.946156034	7.628981265	7.747643437	7.936583772	7.982385962	7.759502769	7.987907094	7.770412758	8.015529591	8.16389772	7.945695538	8.112626115
"1028"	7.101576462	6.919045686	7.112659635	6.688311365	6.489504963	6.620575304	6.26949069	6.646631272	6.635425181	6.072056331	6.288905913	6.344778386
"1029"	5.762679416	5.775916993	5.651092355	5.927350138	5.907392945	5.592803883	6.378348066	6.450238085	6.344922358	6.471816204	6.176314699	6.581043409
"1030"	7.025559851	7.054753699	7.12815422	6.947618443	6.752306526	6.986009707	6.799635688	6.529983592	6.390507584	6.709342148	6.558513025	7.091488968
"1031"	8.511095383	8.62449276	8.563750581	8.667034354	8.694950945	8.158502234	8.076641655	7.731750662	8.091454728	8.246591554	8.292770183	8.02087953
"1032"	6.814028799	6.75454239	6.772250921	6.675724473	6.773894661	6.780225397	6.648724803	6.645025286	6.789922186	6.746280528	6.949725347	6.82544876
"10393"	7.674469233	7.947868044	7.595906334	7.692059749	7.597106269	7.624098014	7.873026924	7.766677821	7.911048587	7.774934992	7.941605071	7.911610034
"10459"	8.619469221	8.72920829	8.644269424	8.631223437	8.558036068	8.522097802	8.705526689	8.686513332	8.606264508	8.640404171	8.729899161	8.725655813
"10735"	8.40186234	8.45384026	8.505861362	8.291048937	8.341105073	8.299804439	8.350727815	8.163221256	8.341677704	8.286766251	8.008133141	8.180440787
"10744"	3.935812901	3.887610345	3.809089144	4.108013968	3.789084765	3.772880252	3.693293941	3.759071488	3.725339155	3.836915492	3.809089144	3.821524951
"10912"	6.066586467	6.178040529	5.878197443	5.914697984	5.851618386	5.693888231	6.068065156	6.361834032	6.01063011	6.035967685	6.112491084	6.495241912
"10926"	7.937640548	7.478834861	7.817348048	8.256335383	8.076201042	8.126508263	7.567806294	7.05056415	7.486480149	7.954269261	8.046158599	7.648149534
"10971"	12.21385608	12.20177619	12.3073086	12.30469104	12.28980215	12.32212918	12.29855923	12.25104383	12.38629598	12.21959822	12.27794411	12.32827279
"1111"	6.7774137	6.529974893	6.903421202	6.847626518	6.865514114	6.757486687	6.312359607	5.849273862	6.478356588	6.527586855	6.574919329	6.450728704
"11200"	7.468300572	7.320081376	7.219842524	7.054870121	7.302830753	7.385893943	7.079421319	7.102025639	7.094116321	7.113346195	7.040786475	7.148882775
"1387"	8.060659484	8.075222406	8.046597687	8.010430393	7.987549104	8.03959185	7.781538333	7.654362155	8.000934457	7.825818844	7.836873312	7.89039411
"1647"	9.967464677	9.537611343	10.02745045	10.05100648	10.04275594	10.05292577	10.02312409	9.949404228	10.02719247	9.729592692	9.76980335	9.834190801
"1869"	6.839299059	6.886109647	6.57941785	6.774640369	6.791051861	6.867761141	6.772939804	6.979184624	6.773565559	6.925623367	7.032691142	7.057206089
"1870"	5.856334897	6.332722332	6.141474464	6.206929745	6.217475706	6.516109781	6.003114939	5.985825832	5.965613611	6.175016967	6.229186533	6.120517421
"1871"	6.851676734	7.090624305	6.890904456	7.016320016	7.007013132	7.070532258	7.284955828	7.343357544	7.326322201	7.3075832	7.199940806	7.335804158
"1874"	7.506222067	7.549624777	7.86682025	7.630727389	7.417124635	7.435809016	7.526298844	7.532376266	7.513304008	7.5610628	7.603647009	7.593372119
"1875"	4.947855542	4.669125585	4.623519802	4.885225304	4.765409771	4.730846824	4.674799646	4.797037928	4.68686776	4.958250615	4.801270267	5.033520219
"2033"	8.131616613	7.39725943	7.864724671	7.897702099	7.726517152	7.87091404	7.555584096	7.403534336	7.800277992	7.814630494	7.846689659	7.558995844
"23594"	8.116481893	7.855392197	8.002780586	8.108841695	8.006674	7.800117947	7.8347399	7.67701373	7.720221063	7.934715848	8.046700466	7.812470269
"23595"	7.449587124	7.446768941	7.727796151	7.58793644	7.488891253	7.396041882	7.30758126	7.171213406	7.361951696	7.388178376	7.409550784	7.492231787
"246184"	9.521947011	9.496786944	9.328574525	9.571215962	9.54425382	9.599197849	9.382748418	9.479772655	9.284122595	9.544473312	9.622592405	9.382804425
"25"	9.838416415	9.96066958	9.994736681	9.846514778	9.906801208	9.637911206	9.261706128	9.299138226	9.443555939	9.269466458	9.097815286	9.310927768
"25847"	10.55524341	10.69706123	10.65893727	10.49500059	10.49597824	10.58421132	10.46851293	10.2961054	10.21990505	10.45297806	10.5279293	10.44459524
"27127"	4.91331488	4.959726736	4.582643775	4.48600957	4.776411947	4.56690927	4.654689825	4.477476826	4.23764217	4.382273778	4.654478157	4.681518411
