Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"1022"	9.413327139	9.04860973	9.306257794	9.362682451	9.354485991	9.158760703	9.201692119	9.124546532	9.081333844	9.174189343	9.229374059	9.093191435
"1069"	10.00657403	9.933195757	9.766545359	9.962646936	9.785812695	9.88551195	9.860188688	9.80389994	9.724458562	9.903790743	9.89935812	9.854419598
"10714"	8.049010998	7.78878668	8.012457679	7.716402195	7.654816255	7.744679434	7.749961927	7.717742848	7.770434077	7.714491062	7.659985757	7.689778728
"1161"	3.884714543	3.604475826	3.632556111	3.690958799	3.744300273	3.735365408	3.50254638	3.360100472	3.425829714	3.579574871	3.453514181	3.616166882
"1642"	9.911812739	10.00538292	10.20570154	10.03013357	10.02708181	9.964646295	9.844580746	9.909591148	9.891776529	9.905072454	9.874156426	9.932108938
"1643"	9.771765495	9.697889249	9.817855572	9.657142564	9.698152869	9.460975248	9.208845219	9.270265072	9.402637263	9.209242018	9.314883452	9.30022678
"2067"	9.098261079	9.18670359	9.193953577	9.028789961	8.897857402	8.908399399	8.723673423	8.718779708	8.581791471	8.78246972	8.878445359	8.716450052
"2068"	8.469703367	8.160606715	8.478192213	8.372199516	8.24448034	8.011217031	7.845394737	7.701594819	7.775065677	7.882813867	7.757159405	7.844294748
"2071"	8.205982979	8.244494678	8.165643317	8.253997391	8.141800186	7.96338398	8.064882194	8.169847367	8.310076707	8.303671061	8.314874889	8.182200591
"2072"	6.780208685	6.789274177	6.652167243	7.034655349	6.884319579	7.037589081	7.015088474	7.012050329	7.086974759	7.09972679	7.185104132	7.075296033
"2073"	7.602884837	7.52482289	7.833237939	7.489109797	7.533645069	7.216856984	7.436394989	7.23030224	7.522637246	7.209547058	7.164940887	7.256226942
"2074"	6.878584337	6.538529559	6.622574378	6.856270634	6.876000233	6.695678133	5.972999005	5.868212017	6.188847247	6.121908753	6.250580435	6.46890753
"2965"	8.090847242	7.998241794	7.892191599	8.147376358	8.081059013	8.158006032	7.775908654	7.826452326	7.971519038	7.907170931	8.125239107	7.751292207
"2967"	8.630799168	8.757287342	8.742486311	8.802474128	8.783843421	8.86213238	8.601762339	8.446406635	8.484961548	8.580157064	8.543167345	8.47860751
"2968"	7.518370906	7.402052823	7.494665668	7.544598858	7.506766342	7.39184462	6.967167361	6.923204001	7.043378349	7.028656066	7.13207058	7.033518632
"29935"	4.443480583	4.438072399	4.724005069	4.369786216	4.397890133	4.611791409	4.653905044	4.530401205	4.618638995	4.586574214	4.557430507	4.451508646
"3978"	7.632601672	7.623659509	7.613286718	7.644579084	7.682435112	7.680140459	7.427394949	7.362324144	7.536105544	7.364011556	7.588715877	7.538317085
"404672"	3.689967917	3.937067277	3.952881499	3.859954469	4.139083015	3.711822262	3.483864792	3.535142128	3.433233883	3.51334307	3.649564507	3.523202697
"4331"	8.474396793	8.440621697	8.324069781	8.459026142	8.393309561	8.359192371	7.95750785	7.969327951	8.091231621	8.159880725	8.123249797	8.149628671
"5111"	10.80243567	10.70064102	10.76139574	10.96952437	10.81370942	10.83397237	10.44814295	10.25163176	10.45810486	10.58198868	10.64969023	10.53234258
"54107"	9.051093245	8.874383964	8.979700847	9.265348423	9.18818575	8.758030738	9.197020855	9.007651131	9.105813439	9.182199819	9.205040101	9.260627349
"5424"	8.341709395	8.170466394	8.184838021	8.434990899	8.456737068	8.220625606	7.709779609	7.987859767	8.163668073	8.111578405	8.086785285	8.12486598
"5425"	9.125054693	9.041189462	9.137838858	9.116240088	9.191848079	8.875461207	8.715715596	8.570607132	8.486982227	8.788554654	8.961826919	8.659707948
"5426"	7.396462518	7.470030689	7.61010797	7.487534504	7.481312897	7.618719905	7.38804878	7.382881666	7.272246111	7.273442575	7.319328814	7.454235042
"5427"	8.127271335	8.071481974	8.275751742	8.244834777	8.211427108	8.029234706	7.838213722	7.532648698	7.638538236	8.004355934	8.081568466	8.011540993
"56655"	8.081169501	7.576655787	7.89236805	8.021463015	7.989294363	8.030225699	7.515039893	7.144986703	7.167312459	7.504226525	7.608709509	7.635777511
"57804"	9.243425007	9.235059564	9.162434493	9.021990348	8.928443603	9.263985438	8.940442263	9.045637869	8.906677074	8.729403614	8.814061505	8.926927862
"5886"	8.797182051	8.762499861	8.785123251	8.872252302	8.741361484	9.240771604	8.547194326	8.445135688	8.441143356	8.589517347	8.655514456	8.60288796
"5887"	10.56453344	10.33471294	10.28858833	10.70076798	10.69921583	10.87715093	10.32403342	10.0924919	10.30993255	10.52039869	10.54747696	10.31914204
"5981"	8.411981751	8.396703227	8.485479741	8.132414894	8.055511945	7.848848059	7.957715037	7.895439249	7.991736798	7.792662337	7.654058837	7.836040152
"5982"	8.143069862	8.094731034	8.139934368	8.148543296	8.229108682	7.902339662	8.256119284	8.158698334	8.14465317	8.376386969	8.265104486	8.309684986
"5983"	9.166695338	9.008788989	9.107415115	8.817012218	8.935583027	8.840579062	8.833634388	8.613360843	8.651659438	8.580412969	8.518009894	8.575079126
"5984"	8.812590177	8.583723367	8.817505139	8.614486238	8.589527694	8.443434819	8.632526701	8.468530771	8.519047407	8.556850962	8.669045633	8.574368878
"5985"	7.902399505	7.592674624	7.743535611	7.579196516	7.787222493	7.216835202	7.126075884	6.961963781	6.960133962	7.059834683	7.110260621	7.267516124
"6117"	9.906566363	9.913128388	9.952906898	10.1098646	9.95491809	9.960250578	9.663073634	9.547561483	9.572933775	9.628182065	9.671849984	9.668027654
"6118"	9.4489189	9.457473889	9.295588735	9.425712019	9.441322313	9.418637096	9.609541094	9.55747608	9.597033702	9.558655047	9.622449528	9.622570633
"6119"	8.847847606	8.990690127	8.754115571	8.92678058	8.929984569	9.119860305	8.625045509	8.558384352	8.431338763	8.694950945	8.750267855	8.721966106
"7507"	7.997914247	8.01619533	7.868187205	7.662034918	7.763236649	7.626626962	7.663009834	7.406330456	7.325853125	7.093251221	6.955178502	7.32068076
"7508"	9.376605402	9.400753849	9.330365323	9.211465481	9.282252506	8.955594656	9.363374253	9.252856677	9.325084623	9.259770979	9.227643154	9.231078091
"8450"	9.896927348	9.863504207	9.880023285	9.706294938	9.814234898	9.98757225	9.830596149	9.633593547	9.782962655	9.761488055	9.779489416	9.754795477
"8451"	9.281606005	9.333223553	9.323536009	9.367765922	9.330643558	9.012959291	9.16358104	8.949787668	9.098335428	9.125979457	9.137388105	9.109025029
"902"	9.594384998	9.558942499	9.499557272	9.752559321	9.729084012	9.488771756	9.645011982	9.4932275	9.455820128	9.690003795	9.757277465	9.728204122
"9978"	11.2937986	11.33808815	11.2726178	11.40899135	11.25548931	11.19231817	11.12047932	11.1340942	11.02226285	11.10161372	11.19422629	11.05678129
