Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"10084"	8.998939791	8.869486688	8.842350049	8.879719787	8.822080549	8.709505007	8.387505165	8.346272578	8.186882838	8.409339498	8.480585085	8.330480508
"10189"	9.786679736	9.880520362	9.856366735	10.30025207	10.35495862	9.807625735	9.853747426	9.649092626	9.571741819	10.02499652	9.948842343	9.784674988
"10262"	9.43087324	9.385949313	9.567012325	9.812383756	9.722924309	9.388604796	9.691374381	9.684933474	9.586528602	9.755222105	9.852833367	9.648482726
"10285"	9.684155643	9.543092895	9.552447657	9.739199683	9.724463439	9.367256333	9.658082508	9.591713194	9.632948433	9.752472786	9.875307016	9.708443605
"10286"	9.420348146	9.140945599	9.292000249	9.352614082	9.243106221	9.076799809	9.230302983	9.200470235	9.040085888	9.094480957	9.220335377	9.140005582
"10291"	9.917422785	9.783413528	9.92533518	9.699286353	9.793940256	9.632151869	9.728460102	9.671089917	9.685271294	9.614034117	9.735036134	9.789216852
"10450"	8.288336346	7.910564376	7.933594293	8.140375821	8.291243117	7.980829617	8.08041813	7.99735425	7.869995029	7.901630956	8.012080903	7.972509087
"10465"	8.930688425	9.136370987	9.033429809	9.067318742	8.997224338	9.11782612	8.95476767	8.91139738	8.701268121	8.934466928	8.937904459	8.930702914
"10523"	8.621521725	8.504019906	8.587076275	8.385093345	8.479128629	8.684601929	8.551139158	8.509059237	8.483050529	8.546155139	8.735539887	8.705444825
"10569"	8.258997751	7.781288482	8.053432084	7.965699846	8.027146248	7.843721064	8.251318234	8.300786148	8.438662947	8.000255398	8.049986767	8.278119877
"10594"	10.13518506	9.962307769	10.21822327	10.19136273	10.05712919	9.839662757	9.661564578	9.63312247	9.837228282	9.860136254	9.792374419	9.818099769
"10713"	8.516863471	8.490588293	8.382279569	8.58935274	8.642752201	8.403195303	8.447241381	8.250118346	8.19550498	8.411096046	8.394893656	8.314746095
"10772"	7.924523425	7.157383898	7.457324527	8.079293732	8.032900072	7.565089496	7.462864988	7.445045121	7.840538703	7.865415085	7.842161045	7.773921347
"10907"	5.282362553	5.281421324	5.278089001	5.180385957	5.074501668	5.042378133	4.901034953	4.919199231	5.279499797	4.708475258	4.786152822	4.932342826
"10915"	9.202707967	9.021896924	9.268010194	9.2190325	9.216368789	8.969659392	8.763331785	8.583981674	8.737230523	8.776714294	8.816541678	8.719082415
"10929"	8.493441973	8.317167771	8.398261881	8.37494464	8.276428731	8.272246187	8.385793265	8.36261382	8.438399938	8.230832434	8.243852843	8.464416176
"10946"	8.369140776	8.411917053	8.396809518	8.531431302	8.433070753	8.234421838	8.127675046	7.997480303	8.148092799	8.196210257	8.239770796	8.238280369
"10992"	6.821291186	6.861216042	6.75577586	6.707523129	7.021483405	7.034410753	7.076391509	7.096053414	7.094606319	7.210010401	7.149502077	7.31724888
"11017"	9.537786089	9.450515208	9.481299389	9.52227687	9.672920828	9.416846131	9.497821768	9.442173556	9.313185848	9.480797584	9.474835266	9.427254841
"11157"	9.383600354	9.102912024	9.084125127	9.365729447	9.308115725	9.232005265	9.18560099	8.904798447	8.927611374	9.043037284	9.158952447	9.090381813
"11325"	3.259456266	3.252854329	3.44922314	3.218020003	3.493208377	3.157020193	3.197876955	3.285737832	3.073183003	3.234069311	3.363520977	3.357088964
"11338"	6.75029436	6.916377672	7.186393014	7.011786575	6.829359163	7.272819307	6.805021387	6.824169375	6.668758018	6.722493786	6.690510551	6.783529398
"151903"	9.089759954	9.126694	8.955281512	9.024986969	8.814630658	9.032292128	8.911485851	8.894274025	8.710074976	8.769608055	8.823981669	8.766883766
"153527"	9.782048837	9.809012951	9.686357556	9.502522159	9.608829251	9.565351114	9.446005941	9.393030718	9.253857065	9.179453474	9.240783597	9.394978401
"1655"	8.156147521	8.185126249	8.215192242	7.917391652	7.935521925	8.271253218	7.713759581	7.638877589	7.722283013	7.336640642	7.106613018	7.504039568
"1659"	7.954761594	8.084220146	8.118943635	7.855134942	7.915562619	7.797073176	8.082765738	8.062395438	8.092437367	7.911106271	7.786839557	8.081484527
"1665"	11.28653581	11.43344723	11.41134862	11.454186	11.43344723	11.40639763	11.32863948	11.23416562	11.21756381	11.42169652	11.42008578	11.34890484
"220988"	9.634787979	9.591000808	9.485721136	9.585204163	9.640705563	9.562766384	8.902531319	8.683965936	8.913299877	8.893320639	8.852707549	8.843114576
"22827"	10.3096495	10.40600691	10.37577004	10.40866506	10.23575196	10.11895238	10.1597068	10.02612941	9.994047049	10.02550487	10.09836594	10.05169265
"22916"	9.716443177	9.618352094	9.611383172	9.584324895	9.770580017	9.503437366	9.364153655	9.267577984	9.355769527	9.334788309	9.349421384	9.276232142
"22938"	9.912981095	10.1367812	10.05166401	9.983912898	10.01381845	9.894570711	9.712556846	9.743866109	9.598342267	9.735800867	9.804175631	9.67634147
"22985"	8.185205922	8.392373763	8.208749265	8.307755398	8.302286566	8.537105543	7.841035532	7.918856021	7.946051165	7.884929272	8.171194275	8.036502368
"23020"	6.698602532	6.636163207	6.83373367	6.67681824	6.864396423	6.999820518	6.803277368	6.681299969	6.698632443	6.890797984	6.945374354	6.912813853
"23350"	9.200137482	9.250800526	9.355632224	9.287078203	9.132541613	9.234983086	9.147748086	8.960495271	9.169459864	9.048230118	9.155865094	9.09804171
"23450"	9.376056626	9.412875538	9.586800241	9.412421234	9.329757427	9.397488011	9.034271175	8.977644058	8.960664153	9.148624158	9.144410743	8.957717276
"23451"	9.10807302	9.125915721	8.972406114	9.006954068	9.199674034	9.717004305	8.988436339	8.934290106	8.832074899	8.738186955	8.831082243	8.919169803
"23658"	5.289622205	5.410368813	4.764703283	5.279770463	5.13878279	5.096464275	5.552375239	5.208992932	5.576611829	5.454572946	5.422844101	5.990563058
"24148"	8.113745409	7.967209988	7.978644898	8.055474735	8.052692615	8.364257817	8.093554084	8.105748698	7.987350951	8.109277358	8.084625593	8.122199835
"25766"	6.780505811	6.844643291	6.683646729	6.505349387	6.566778537	6.480424134	6.817926098	6.939132722	7.116457068	6.915798405	6.837610107	7.219267396
"25804"	9.364881027	9.377085778	9.259014454	9.370393664	9.435070015	9.388656567	9.26767757	9.257869653	9.176315447	9.268877792	9.421794803	9.295717053
"25949"	5.778917025	5.701321551	5.777922534	5.908318379	5.657121013	5.767402694	5.824270012	5.776095619	5.758950934	5.974278478	5.934351765	6.134327272
"26121"	8.159291126	8.317881302	8.252453264	8.544424933	8.349503434	8.460470873	8.302068317	8.285954943	8.162525901	8.442917902	8.401606249	8.362835293
"27258"	9.96375702	9.744910473	9.880342538	9.950237215	9.945964126	9.82953867	9.662207026	9.599289201	9.468918906	9.577433143	9.769279785	9.634175072
"27339"	10.08969838	10.02035595	10.07312979	10.0798231	10.13982342	9.908064202	9.812382063	9.702606967	9.666208534	9.78448108	9.805700304	9.849813707
"29896"	9.142984174	9.207464196	9.147678332	9.470618049	9.6033849	9.258095546	9.01120349	8.832548042	8.853634671	9.433332257	9.530905043	9.136056423
"3178"	10.8110743	10.84501309	10.81179107	10.70851498	10.7245525	10.69518493	10.29408861	10.31521279	10.0567427	10.25854237	10.35106414	10.28251876
"3183"	3.539733134	3.425330404	3.538108288	3.594993838	3.41864495	3.711246145	3.559473462	3.572690032	3.43530766	3.589751227	3.517202267	3.654479609
"3190"	11.71280969	11.78403096	11.66552049	11.86455671	11.82715859	11.63904757	11.58056043	11.5339559	11.61536089	11.70601998	11.68415594	11.66347236
"3192"	10.57202458	10.57130108	10.75068946	10.79362903	10.71402014	10.77589543	10.28360443	10.19396776	10.21539874	10.33399848	10.30387367	10.22513326
"3305"	6.09157521	6.056230502	5.759557989	6.183432427	6.007930366	6.16575829	6.281224607	6.361865971	6.468102032	6.390022997	6.272997227	6.666602149
"3306"	6.246140539	5.999310754	5.918534881	6.506721094	6.333797163	6.007243029	5.998626355	6.073856975	6.193398567	6.235129689	6.45581043	6.419197677
"3310"	6.809981009	6.832877031	6.859376629	6.815356349	6.792300841	6.708726765	6.795182005	6.777836381	6.617719183	6.627462777	6.654147665	6.681464294
"4670"	6.392300697	6.356503785	6.479189021	6.580200782	6.607713538	6.340389912	6.803042885	6.808026597	6.959972135	6.851213989	6.832358407	6.893458919
"4686"	3.775972074	3.747618574	3.691072843	3.780201193	3.562940754	3.995353501	3.767879464	3.547752801	3.579604531	3.725934579	3.601172972	3.622166974
"4809"	9.20767819	9.299928393	9.185557204	9.196213547	9.15651373	8.94779998	8.945164832	8.764886215	8.698064191	8.75667032	8.894432008	8.839864523
"494115"	5.638431223	5.255000608	5.619854035	5.545762932	5.662673676	5.229957834	5.625202845	5.261318242	5.676796948	5.816983366	5.617728906	5.75250907
"5093"	11.66430323	11.66845361	11.63473749	11.76425925	11.69781847	11.43584606	11.39318164	11.41298813	11.56755987	11.42041064	11.47565672	11.502733
"51340"	7.509256904	7.385174948	7.303877373	7.486889567	7.42242889	7.505314187	7.142144415	6.999427889	7.343229162	7.365862013	7.237926903	7.358579778
"51362"	9.061002535	8.960124761	9.062738295	9.095085935	9.084784955	8.940988337	9.11599672	8.999223706	8.996316782	8.995592003	9.039196222	9.074027846
"51503"	10.46701482	10.52981372	10.37816332	10.41398432	10.34757928	10.41591257	10.08830188	10.1240949	10.1057559	9.954757795	9.98305338	9.996379602
"51639"	4.796536742	4.610004072	4.481811395	4.433873718	4.351345535	4.564556963	4.6334875	4.641115361	4.633620606	4.57278117	4.689465248	4.714469737
"51645"	8.706232877	8.717828826	8.773297065	9.057105331	8.987051613	8.978534144	8.75360718	8.663291084	8.560470806	8.949611129	9.039133588	8.761870481
"51690"	10.65937788	10.61702073	10.53099873	10.63576916	10.55227654	10.43816671	10.21481279	10.20908903	10.09297179	10.19592893	10.31788766	10.17215477
"51691"	9.471559344	9.502223023	9.358860083	9.455163466	9.364252499	9.465392672	9.193893663	9.134119134	9.166873311	9.152187724	9.134289345	9.114935585
"51729"	9.089384919	9.087302872	9.120554989	9.193245143	9.073688119	8.889457006	8.889922904	8.992900236	9.017401353	8.964910513	8.908644953	8.892806864
"5356"	9.708574935	9.761989764	9.715092086	9.658769977	9.652249323	9.524779396	9.260212724	9.206604182	9.155775222	9.115114831	9.157730515	9.154470219
"55110"	7.584285724	7.727168767	7.574117156	7.982506912	7.742588756	8.021217689	7.644620534	7.59584701	7.787613906	7.830896248	7.856576011	7.752098477
"55119"	7.855822445	7.448749371	7.495701379	7.706945541	7.828504244	7.627477591	7.415948896	7.042787384	7.312159824	7.762338386	7.800333474	7.586984519
"55660"	10.21962814	10.30200616	10.0870678	10.1099321	9.991108278	9.933255671	9.937228778	9.895932476	9.98205626	9.901563826	9.73978678	9.87904284
"55696"	9.06833303	8.955522861	8.950759337	8.906912999	8.923416028	8.813201322	8.923369097	8.755913264	8.846585431	8.953600853	8.854054522	8.847001529
"56259"	8.622980326	8.666056853	8.450678119	8.52860974	8.495359225	8.412539452	8.071380792	8.118275746	7.883894616	8.072271946	8.173923881	8.110512343
"56949"	7.176113312	7.22047606	7.481835729	7.162724966	7.150514537	7.368863468	6.876344066	6.95441687	6.71932112	6.857508523	6.975904862	6.976043795
"57187"	7.271235274	7.446768941	7.561607243	7.296462308	7.281017799	7.359781678	7.3172579	7.335207713	7.663860868	7.577590534	7.509397521	7.692795304
"57461"	8.000101109	7.952453288	8.186693959	8.074334929	7.942246349	7.864521136	7.91816811	7.859439124	7.767164799	7.795608105	7.730489356	7.958957373
"57819"	8.979329783	8.918498385	8.95457048	9.077876173	8.965348659	8.930386202	8.520064205	8.448013982	8.483753014	8.610670901	8.764362008	8.662492077
"58517"	5.878913212	5.774108818	5.819512452	5.612145889	5.903144995	6.060959951	5.915373885	6.038559203	6.162538276	6.140460273	6.078045709	6.135231646
"6426"	5.749516554	5.748512788	5.95852803	5.82134586	5.689566122	6.075325694	5.801216166	5.659152949	5.770124995	5.620640383	5.643079885	5.980026936
"6428"	11.73648329	11.72294114	11.72359478	11.48282042	11.53283396	11.64222048	11.33097408	11.23552433	11.20314321	10.90284473	11.03265582	11.12956712
"6429"	10.38093845	10.36508667	10.48653643	10.34288103	10.24467594	10.02610001	10.08163021	10.10667538	10.27776654	10.19795779	10.12797248	10.11999076
"6430"	9.742839038	10.06443935	10.06081079	9.196750638	9.214826097	9.669095091	9.954669565	9.798799089	9.750579324	8.983853588	9.029588361	9.578609546
"6431"	7.928766431	8.27881703	8.163378717	8.77799071	8.831765792	8.916393131	8.304656934	8.145092771	8.173054744	8.65732434	8.405527966	8.297691449
"6432"	8.715629937	8.77428946	8.610577	8.425846925	8.417590597	8.602712436	8.228635889	8.201061648	8.294089959	8.234938251	8.257192661	8.24576157
"6434"	10.45131083	10.31666874	10.11230624	10.59207107	10.60283477	10.33799757	9.675090299	9.500019219	9.571451221	9.997614202	10.08684927	9.720493212
"6625"	9.692688305	9.723641454	9.719405293	9.850614088	9.76214891	9.643219977	9.408952251	9.530987047	9.526825842	9.544299224	9.52732124	9.510838099
"6626"	10.33868049	10.40373663	10.27695254	10.27893107	10.21639665	10.27985569	9.665406631	9.690844611	9.620616261	9.649227549	9.722458038	9.734812834
"6627"	9.631078101	9.551569104	9.752575854	10.00803382	9.796737045	10.21735217	9.659705166	9.373779398	9.743910615	9.867960986	9.920640434	9.706574278
"6628"	10.21982178	10.27421748	10.25127761	10.45050245	10.36695579	10.09811102	10.32364039	10.24228531	10.31108636	10.40312623	10.55234897	10.44195371
"6629"	3.369680699	3.421340981	3.202097813	3.208628748	3.422420228	3.337188841	3.39910647	3.304202625	3.307064441	3.383372762	3.315646232	3.404807643
"6631"	10.1542495	10.1101074	10.11524454	10.12268286	10.03805707	10.11710118	9.967676973	9.918436717	9.789741325	9.899377731	10.00771974	9.98093996
"6632"	11.23408789	11.08202072	11.1243329	11.34470538	11.26604412	11.1947696	10.8674846	10.71912636	10.73860073	10.92240354	11.12071446	10.83387703
"6633"	11.67537409	11.7910626	11.72806515	11.74162652	11.66468446	11.75016497	11.36009212	11.34362554	11.18429964	11.41431511	11.57583639	11.31277757
"6634"	11.28821282	11.32807816	11.28152408	11.27568429	11.24595095	11.3191169	10.96364429	10.86983651	10.68315354	10.79845967	10.95264539	10.80557206
"6635"	11.88909792	11.80173051	11.69926729	11.89539494	11.8891092	11.85170414	11.39413627	11.36618761	11.30892427	11.42870784	11.47447941	11.36000578
"6636"	10.51971505	10.30858007	10.38488314	10.5152658	10.56535732	10.43615928	10.143135	10.04616269	9.898749136	10.13416359	10.25073679	10.12620281
"6637"	11.58633625	11.44725716	11.49202621	11.7938799	11.71575448	11.81092799	11.32655093	11.29267538	11.23529346	11.4695165	11.61494923	11.26788688
"7307"	11.80545224	11.83752752	11.81510789	11.89338362	11.88926776	11.36620522	11.49342993	11.46953345	11.32255638	11.38940183	11.47581991	11.48819761
"8175"	7.667457545	7.926123147	7.829745924	7.938897673	7.806351246	7.34415404	7.652273684	7.841587347	7.690797937	7.757027997	7.681114482	7.836912828
"83443"	11.15896477	11.1082563	11.13642148	11.23818292	11.12891859	11.02848339	10.82983349	10.77235196	10.74868813	10.77981232	10.88091069	10.85641413
"8449"	8.964889189	9.058906057	9.170310566	9.074873786	8.915666918	8.871512099	8.886307762	8.898370621	8.797127688	8.86754479	8.824572666	8.87630695
"84844"	8.940603529	8.99390253	8.893018805	9.219723632	9.22548285	9.556875173	8.909945369	8.851062868	8.6184736	9.081712107	9.136897497	8.912634906
"84950"	8.927665356	8.818450484	8.900825972	8.840222261	8.837146402	8.869648518	8.698128455	8.665941023	8.58651445	8.650968746	8.704777763	8.713813787
"84991"	7.060865946	7.455549293	7.29666063	7.202975868	7.124137546	7.329928705	6.760234561	6.704577212	6.260344262	6.778729637	6.616283197	6.344010425
"8559"	6.176658922	6.405076548	6.300263517	6.222878197	6.419525109	6.092864396	6.895781145	6.833849681	6.576747134	6.711114958	6.681611042	6.87586594
"8896"	10.27333054	10.13318663	10.11328953	10.16975599	10.16600664	9.889601927	9.903095715	9.876650451	9.830266782	9.876932558	9.966993546	9.786207523
"9092"	8.207048015	7.845039761	8.368912074	8.319055047	8.203088549	8.111536261	7.894161677	7.858662769	7.753798324	7.808021129	7.689180847	7.690247755
"9128"	9.224633887	8.821463297	8.946973178	9.06486017	9.078750897	9.036120462	9.061401346	8.980479303	9.041768074	9.122960289	9.120376176	9.145475581
"9129"	7.752396698	7.561156587	7.670419982	7.591872466	7.620432812	7.529790211	7.408006898	7.236492368	7.360503156	7.389662038	7.429781596	7.378376677
"9343"	6.680807607	6.686561668	6.515988185	6.568346011	6.67954174	6.741434939	6.41196975	6.312930834	6.404891275	6.503812784	6.509488954	6.547181563
"9410"	9.683502783	9.717962632	9.670374121	9.769224042	9.832969557	9.686413254	9.42548586	9.314453848	9.114931857	9.543329903	9.50033719	9.420020326
"9416"	8.798285849	8.736176394	8.894164053	8.835160486	8.752836599	8.997260981	8.708418366	8.585982459	8.622497411	8.70276254	8.711447543	8.688240557
"9716"	5.925938531	6.007998796	5.917932706	5.895125706	5.687046853	5.578141806	5.801639635	6.002003437	5.832591827	5.850382713	6.026033416	5.962886781
"9775"	10.58112563	10.5971894	10.53355641	10.70249659	10.66073971	10.62812008	10.6707064	10.69003394	10.53284448	10.70122115	10.73504714	10.61657775
"9785"	8.36195555	8.356468066	8.388333793	8.402517617	8.416988751	8.515009667	8.276970203	8.313160685	8.311742235	8.369255643	8.296769871	8.199639951
