"","p.geomean","stat.mean","p.val","q.val","set.size","GSM410672","GSM410673","GSM410674","GSM410675","GSM410676","GSM410677"
"hsa03040 Spliceosome",0.000412427677103653,-3.36237354730951,2.62945001132126e-16,4.28600351845365e-14,117,0.000249596897816388,0.000368873869327655,0.000208579254764032,1.78894754248064e-05,0.00251068592846095,0.00570569604774718
"hsa04110 Cell cycle",0.00207615095999254,-2.87209922340261,1.64616301622222e-12,1.34162285822111e-10,122,0.00097143340862799,0.0011298869323169,0.00275306232578606,0.000334209866239739,0.0141708056890279,0.00559597411631055
"hsa03420 Nucleotide excision repair",0.00242857637230268,-2.88075388335673,4.6923700286578e-12,2.54952104890407e-10,43,0.000647212687737491,0.00121163063447179,0.00165341882774014,0.000676134255232018,0.00819462404042706,0.0285593601607124
"hsa03010 Ribosome",0.00334313036466062,-2.71342084720504,3.65392690331881e-11,1.48897521310241e-09,70,0.0136736983691701,0.0277136566700285,0.000783457506289448,0.000171987142907613,0.0122206076588585,0.0022373597237861
"hsa03030 DNA replication",0.0136027710233745,-2.20020552725049,7.89991581680382e-08,2.57537255627805e-06,36,0.00267079219633909,0.00561485543433839,0.00349568252410121,0.0129743594251549,0.078892295917879,0.118068255031825
"hsa00620 Pyruvate metabolism",0.0246870473941999,-1.96792172456708,1.12883728480599e-06,3.06667462372293e-05,39,0.0085596730739145,0.046205367422234,0.0435293818587357,0.00440523994988588,0.0364464539937122,0.0818951060059847
"hsa00280 Valine, leucine and isoleucine degradation",0.0253658487322202,-1.88663701265415,2.83174718389867e-06,6.59392558536403e-05,44,0.00350007301106395,0.098623936106941,0.145370472595178,0.00221171234694702,0.0199415658738106,0.120357415158026
"hsa03013 RNA transport",0.0290443814404367,-1.83626128271046,3.84014552997931e-06,7.82429651733285e-05,136,0.011810189539559,0.0383306267973788,0.0702117468579171,0.00219698621921161,0.0532031351002143,0.161582999522952
"hsa03410 Base excision repair",0.0355828920090269,-1.78443382312294,1.02482385102867e-05,0.000185606986352971,32,0.0123227522129568,0.0427325132163785,0.0118143583365466,0.0130700101254422,0.112685077119813,0.221528106150606
"hsa00190 Oxidative phosphorylation",0.035512005565447,-1.7003573036822,1.75053916536122e-05,0.000285337883953879,119,0.033181748103646,0.0592581690908667,0.0258747592746275,0.00120791268739509,0.296689617813228,0.109999193102151
"hsa00290 Valine, leucine and isoleucine biosynthesis",0.0461446084301535,-1.806557362315,1.94996077055436e-05,0.000288948732363964,11,0.0454152239212907,0.027193134964879,0.0492739718762173,0.039397647927072,0.0715335173036132,0.0562947125960358
"hsa00380 Tryptophan metabolism",0.0532400878786342,-1.6119843968893,4.80457508923434e-05,0.00064076751821284,42,0.0302412090295479,0.0884796515164106,0.0888045104555177,0.0408084838991935,0.0194676024095982,0.120640207512102
"hsa00630 Glyoxylate and dicarboxylate metabolism",0.0506808971300875,-1.63763762815795,5.11041578942756e-05,0.00064076751821284,18,0.0246209778872176,0.0733021078117279,0.0545397099874663,0.00990054680668867,0.073155254683784,0.237698516063649
"hsa03430 Mismatch repair",0.0563063647951283,-1.59323290351655,7.49467837990991e-05,0.000872594697089512,22,0.0154345005407314,0.0300608217076905,0.0640868977462163,0.0630472117143156,0.0776534056758522,0.21890509447102
"hsa04530 Tight junction",0.0626354346602055,-1.51853751636158,0.000104947305420404,0.0010765057734896,130,0.157738734022053,0.0905604634233593,0.0506575590282985,0.0253120085035943,0.0435368539039457,0.0757208842364178
"hsa00071 Fatty acid metabolism",0.0613197683649114,-1.53152107718501,0.000105669278379347,0.0010765057734896,41,0.0430294620563502,0.152548124589079,0.08383341947564,0.0152754855330032,0.0511518220758514,0.12363941224878
"hsa00650 Butanoate metabolism",0.0656270413039768,-1.51301211719557,0.000135428069179492,0.00129851619272101,29,0.0645632668164943,0.0631287082470753,0.147939881638758,0.0221444325253339,0.0481629431211358,0.124228634391132
"hsa00310 Lysine degradation",0.0668061079011704,-1.49473664120171,0.000144849714260816,0.00131169463469517,44,0.0543103808212679,0.147895102684722,0.111125472478134,0.0295278186444153,0.0367283759097331,0.0918361508178273
"hsa00640 Propanoate metabolism",0.0674259227306031,-1.44840784078544,0.00024405448267262,0.00209373056187564,32,0.0359863780295271,0.147823718444005,0.175353870588641,0.00913235823882024,0.0478687986895872,0.230424315613049
"hsa00970 Aminoacyl-tRNA biosynthesis",0.0763874346252916,-1.41906972532883,0.000302214685974965,0.00246304969069596,37,0.0488552230731218,0.0326313823832209,0.0683922419792111,0.0630203127058624,0.123895715764104,0.233368048079253
"hsa03008 Ribosome biogenesis in eukaryotes",0.0924339579943245,-1.30781564307216,0.000728631013447372,0.00565556453294865,68,0.0515333437181882,0.116484330562256,0.0808447705054692,0.0413299272409376,0.133394084525129,0.233120423901817
"hsa04520 Adherens junction",0.0905442209198617,-1.27407306714287,0.000964430808137247,0.00714555553301687,71,0.0531589238886243,0.253565757119238,0.200407830471355,0.03029963174492,0.0268120328357514,0.251082158477582
"hsa04350 TGF-beta signaling pathway",0.10667430910774,-1.21672684569971,0.00150777103202294,0.0106855077486843,80,0.0411249208788021,0.267181127305635,0.124530212395404,0.0671203984896385,0.0858517591974223,0.186882969164309
"hsa04115 p53 signaling pathway",0.111975695353308,-1.20191775602079,0.00170352623495006,0.0115697823457025,67,0.104380203704743,0.163571292357202,0.212548694342953,0.0447140772767291,0.141739821453368,0.0857082814767304
"hsa00020 Citrate cycle (TCA cycle)",0.124508489484424,-1.13888542501874,0.00293651573705278,0.0191460826055841,30,0.062989577875862,0.171695702975637,0.164747818333251,0.0552438846291823,0.14566910771883,0.259833007530595
"hsa04310 Wnt signaling pathway",0.134150990648346,-1.10627459577532,0.00342038720351872,0.0214431966989827,146,0.111880765287071,0.175079474156297,0.146425897096839,0.105946485794883,0.146962160338172,0.130515672611084
"hsa00040 Pentose and glucuronate interconversions",0.135544628691009,-1.10009175216749,0.00407481826512847,0.0245998287857756,19,0.0549953240273702,0.211292017667148,0.0984667560961266,0.159175621119507,0.163117992084196,0.208745425505328
"hsa04512 ECM-receptor interaction",0.145402582444126,-1.05599741553361,0.00500244360428319,0.0291213681249343,82,0.0893839881920369,0.175929419500161,0.160196703324917,0.161605151143382,0.143509255210333,0.161750576335667
