Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"10319"	6.073936484	6.411135776	6.326596321	6.158715483	6.077166971	6.516469018	5.97070186	6.19032594	6.198966669	6.19838897	6.227026417	6.300801041
"1101"	6.786903419	7.001196731	6.762098786	6.801620345	6.830914913	6.73563932	6.71094348	6.947186563	6.927571128	6.708574579	6.853292986	6.574389245
"1277"	3.881454697	3.536443448	3.714714182	3.457229907	3.579052232	3.521410966	3.683696312	3.360144718	3.428248271	3.520748994	3.433899076	3.54280073
"1278"	11.10427036	11.01216309	11.18553414	10.22599277	10.22201847	10.50725289	7.32898194	7.685757527	7.584629696	7.287736514	7.352060492	7.385893943
"1280"	4.272527588	4.390128108	4.302340727	4.179921804	3.935318948	4.241265848	4.226884802	4.285677695	4.370831617	4.313040581	4.224815095	4.274597296
"1281"	5.566186322	5.673177727	5.637251529	5.657069023	5.74792618	5.899274534	5.591555356	5.734004978	5.53342419	5.622416275	5.660748146	5.67082295
"1282"	12.4958718	12.63251188	12.61019814	12.17692379	12.28468822	12.18326344	13.23711722	13.22469151	13.32940577	12.97608055	13.03603728	13.15040337
"1284"	12.63038173	12.65845567	12.79792136	12.28817683	12.36511864	12.1231567	13.26522587	13.32844856	13.39967665	13.12415457	13.08368272	13.23122826
"1286"	4.393101017	4.387520607	4.169981561	4.593863817	4.387055424	4.585110753	4.72330276	4.588517178	4.761064902	4.939139527	4.699791685	4.718048432
"1287"	9.69211033	9.884731318	9.824509041	9.788086734	9.873868089	10.01649579	9.553990859	9.545792789	9.625618743	9.187876569	9.224471238	9.46200209
"1288"	4.629080487	4.764909814	5.064543885	4.774988766	4.934614844	4.890788357	4.804551287	4.799935015	4.888048271	4.834933895	4.750532845	4.859221204
"1289"	7.616024644	7.562364883	7.600812754	7.385631525	7.223673683	7.618376789	7.118532467	7.047224419	6.856495666	7.24558748	6.645496154	6.951005399
"1290"	10.00942598	10.0674335	10.03363687	9.674527877	9.627195931	9.946058714	7.745331026	7.982182605	8.153720772	7.512752532	7.39253474	7.93132494
"1291"	7.225068856	7.04873277	7.276286	7.232318511	6.977798967	6.709371789	7.516713757	7.602051317	7.765757937	7.276047629	7.410120709	7.648538595
"1292"	6.186649881	6.184863887	6.124759477	6.119715683	6.089539523	6.29412513	6.962394269	7.071204174	6.943774606	6.399685252	6.83408074	7.046498501
"1293"	5.49243366	5.748884065	5.588164439	5.674045017	5.322533087	5.854515308	5.910277106	5.815826242	5.856323669	5.927672732	5.971134971	6.2216495
"1301"	4.192199944	4.191429204	4.055304782	4.060010741	4.187129142	4.042240887	4.418944363	4.459808284	4.138686835	4.439894227	4.139529929	4.469550195
"1302"	6.496618015	6.559931491	6.331784619	6.413590417	6.671485451	6.360889239	6.341277951	6.547583507	6.488641913	6.58113523	6.593251662	6.636292261
"1311"	5.924670218	6.146336852	5.875744999	5.953076785	5.871941649	5.820175167	5.736394629	5.706365257	5.558419826	5.396665691	5.680287801	5.494497352
"131873"	4.278244484	4.127229343	4.287676317	4.216201268	4.221950029	4.522417306	4.44500071	4.483541164	4.56627008	4.69585337	4.548033252	4.497780541
"1605"	9.861026369	9.792575008	9.803495872	9.773116575	9.80735238	9.686147997	9.755778873	9.841766636	9.899676695	9.805648569	9.737697315	9.939719016
"22798"	3.994841803	4.192375195	4.22610673	3.752184098	4.028343387	3.710702862	3.641284865	3.457605293	3.463751529	3.731405376	3.553004961	3.646960107
