Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"10000"	9.892787184	10.13835409	9.980777012	9.857698396	9.984550236	10.00735366	10.20131179	10.27032393	10.30132096	10.05567293	10.03454126	10.25737629
"10298"	9.309851172	9.282835626	9.18864448	9.34724351	9.136155384	9.330084751	9.05924173	9.24347983	9.18940406	9.22671963	9.229511917	9.241413132
"10319"	6.073936484	6.411135776	6.326596321	6.158715483	6.077166971	6.516469018	5.97070186	6.19032594	6.198966669	6.19838897	6.227026417	6.300801041
"103910"	12.77284335	12.78594345	12.76877494	12.87269698	12.82181103	12.89479554	12.83440999	12.8150504	12.89685678	12.9017855	12.93092642	12.78533908
"10398"	9.063405774	9.029367763	9.050049338	8.761884182	8.788186468	8.065435837	7.551471274	7.420854508	7.522796337	7.274747647	7.315777039	7.516335252
"10451"	6.457940327	5.913188028	6.350892828	6.030019269	6.149145505	5.901143426	6.192504889	6.19727552	6.566778537	6.036109504	5.705665979	6.35145219
"10627"	5.918963196	5.673177727	5.428620241	5.645966279	5.924670218	6.183114416	6.248065134	6.1877315	6.06590486	5.90830876	6.22282283	6.499747185
"1101"	6.786903419	7.001196731	6.762098786	6.801620345	6.830914913	6.73563932	6.71094348	6.947186563	6.927571128	6.708574579	6.853292986	6.574389245
"1277"	3.881454697	3.536443448	3.714714182	3.457229907	3.579052232	3.521410966	3.683696312	3.360144718	3.428248271	3.520748994	3.433899076	3.54280073
"1278"	11.10427036	11.01216309	11.18553414	10.22599277	10.22201847	10.50725289	7.32898194	7.685757527	7.584629696	7.287736514	7.352060492	7.385893943
"1280"	4.272527588	4.390128108	4.302340727	4.179921804	3.935318948	4.241265848	4.226884802	4.285677695	4.370831617	4.313040581	4.224815095	4.274597296
"1281"	5.566186322	5.673177727	5.637251529	5.657069023	5.74792618	5.899274534	5.591555356	5.734004978	5.53342419	5.622416275	5.660748146	5.67082295
"1282"	12.4958718	12.63251188	12.61019814	12.17692379	12.28468822	12.18326344	13.23711722	13.22469151	13.32940577	12.97608055	13.03603728	13.15040337
"1284"	12.63038173	12.65845567	12.79792136	12.28817683	12.36511864	12.1231567	13.26522587	13.32844856	13.39967665	13.12415457	13.08368272	13.23122826
"1286"	4.393101017	4.387520607	4.169981561	4.593863817	4.387055424	4.585110753	4.72330276	4.588517178	4.761064902	4.939139527	4.699791685	4.718048432
"1287"	9.69211033	9.884731318	9.824509041	9.788086734	9.873868089	10.01649579	9.553990859	9.545792789	9.625618743	9.187876569	9.224471238	9.46200209
"1288"	4.629080487	4.764909814	5.064543885	4.774988766	4.934614844	4.890788357	4.804551287	4.799935015	4.888048271	4.834933895	4.750532845	4.859221204
"1289"	7.616024644	7.562364883	7.600812754	7.385631525	7.223673683	7.618376789	7.118532467	7.047224419	6.856495666	7.24558748	6.645496154	6.951005399
"1290"	10.00942598	10.0674335	10.03363687	9.674527877	9.627195931	9.946058714	7.745331026	7.982182605	8.153720772	7.512752532	7.39253474	7.93132494
"1291"	7.225068856	7.04873277	7.276286	7.232318511	6.977798967	6.709371789	7.516713757	7.602051317	7.765757937	7.276047629	7.410120709	7.648538595
"1292"	6.186649881	6.184863887	6.124759477	6.119715683	6.089539523	6.29412513	6.962394269	7.071204174	6.943774606	6.399685252	6.83408074	7.046498501
"1293"	5.49243366	5.748884065	5.588164439	5.674045017	5.322533087	5.854515308	5.910277106	5.815826242	5.856323669	5.927672732	5.971134971	6.2216495
"1301"	4.192199944	4.191429204	4.055304782	4.060010741	4.187129142	4.042240887	4.418944363	4.459808284	4.138686835	4.439894227	4.139529929	4.469550195
"1302"	6.496618015	6.559931491	6.331784619	6.413590417	6.671485451	6.360889239	6.341277951	6.547583507	6.488641913	6.58113523	6.593251662	6.636292261
"1311"	5.924670218	6.146336852	5.875744999	5.953076785	5.871941649	5.820175167	5.736394629	5.706365257	5.558419826	5.396665691	5.680287801	5.494497352
"131873"	4.278244484	4.127229343	4.287676317	4.216201268	4.221950029	4.522417306	4.44500071	4.483541164	4.56627008	4.69585337	4.548033252	4.497780541
"1398"	9.585504215	9.645820088	9.815284459	9.796530139	9.571396322	9.226567565	9.841974164	9.902091256	9.924327818	9.944243284	9.848071422	9.899129214
"1399"	7.033582499	7.206194455	7.154867685	7.060267595	7.23245601	7.382891912	7.269512136	7.125881717	7.200525837	7.288477428	7.318566025	7.169961642
"1499"	6.006343242	6.127349073	6.293754206	5.750177193	6.170870995	6.153132146	6.586051836	6.648429066	6.950210105	6.619277143	6.057034655	6.779762601
"1729"	3.739652932	3.82449386	3.786024927	3.758421198	3.885174976	3.83685104	3.807414911	3.825418115	3.828444891	3.828804151	3.637574505	3.930266859
"1793"	9.365631766	9.203866717	9.376548027	9.320324546	9.221880102	9.289654296	9.071322283	9.053684775	9.270955392	9.020423627	8.742355199	9.064618947
"1950"	3.932168309	3.991843657	4.199920975	3.98737332	4.09002215	4.028075162	3.932440028	3.922457397	3.868676977	3.996661265	3.950760344	3.873124295
"1956"	8.420757053	7.52184529	7.788376651	8.649437804	8.349113072	8.595680564	9.183827368	9.285309961	9.557745174	9.651534112	9.143923938	9.195126637
"2002"	8.773983999	8.893249863	8.805076525	8.934684533	8.903020904	8.878317626	8.946795152	8.915799736	8.952387629	8.97763767	8.946885466	8.930674084
"2064"	4.848910013	5.106574298	4.689336276	4.983482659	5.228939195	4.693437826	4.570475845	4.772240416	4.350100099	4.347256656	4.453285667	4.524284343
"207"	9.175794588	9.000704944	9.155873152	9.274182063	9.111308253	9.289276005	9.358622376	9.337398352	9.441472171	9.443814495	9.356483192	9.408178198
"208"	6.285079454	6.458904201	6.242415406	6.095851351	5.953156222	6.032141161	6.252486788	6.273341352	6.024675791	6.130703301	6.003820753	6.149691023
"22798"	3.994841803	4.192375195	4.22610673	3.752184098	4.028343387	3.710702862	3.641284865	3.457605293	3.463751529	3.731405376	3.553004961	3.646960107
"22801"	7.01570072	7.094440645	6.966541337	6.812226311	7.01126826	6.850618488	6.905272279	6.911202498	6.839610223	6.759386226	6.919527526	6.960673877
"2316"	11.06859306	10.95622388	11.28232062	11.31746728	11.14056876	11.42695634	10.49802431	10.52841454	10.63998731	10.68397987	10.59325835	10.55989579
"2317"	9.935809961	10.09172424	10.27061416	10.03957336	9.922366582	10.28318907	8.878041112	8.975206575	9.115220088	9.13650361	8.982017877	9.042734787
"2318"	9.659058264	9.655117255	9.758098594	9.768114172	9.685494027	9.887829085	8.292379998	8.151629845	8.245496269	8.40372855	8.551980726	8.336682572
"2321"	5.199695384	5.495299199	5.258482955	5.341930635	5.216324179	5.251365377	5.396595861	5.431516805	5.603783503	5.130696324	5.403949223	5.654104844
"2324"	8.572804308	8.500904879	8.62293692	8.366926812	8.363774513	8.565287618	8.741896625	8.718712285	8.670973177	8.606771143	8.531449396	8.680747138
"2335"	6.544510157	6.338707576	6.049070458	5.675756467	6.065669981	6.11422668	5.046495831	4.97941747	4.884848698	5.139753615	4.923070935	4.917014374
"23396"	8.93161015	8.984578811	9.088657312	8.96896131	8.892550752	8.913283552	9.003476887	9.172285822	9.243134724	9.188488287	9.126306085	9.245260364
"23533"	6.579973002	6.358336856	6.462364024	6.384640417	6.525849626	6.60609646	6.493287026	6.498341239	6.406806382	6.470873679	6.564721006	6.627333691
"2534"	10.36589969	10.54409148	10.58065083	10.45816193	10.45834878	10.13807589	11.19194745	11.33304155	11.25271595	10.94956885	11.03875006	11.14879664
"25759"	7.291122631	7.31660768	7.350697341	7.249148132	7.15757211	7.177388474	7.007535357	7.092223096	7.064915145	6.840713624	7.054854947	6.865745179
"284217"	5.595869341	5.388560711	5.720027348	5.895460312	5.775631517	5.695079932	5.424065306	5.722459825	5.4956177	5.669447799	5.521476711	5.647739739
"2885"	8.791626367	8.633765108	8.66671791	9.003293931	8.818381797	8.80370834	9.10611762	9.163122574	9.136540796	9.350159289	9.333722602	9.149708975
"2889"	6.874614599	7.057629893	7.096642688	6.866261103	6.840283972	6.962507502	7.251148948	7.317075815	7.312600096	7.258683584	7.017830303	7.278578736
"2909"	7.122569862	7.206980193	7.192872144	7.159010222	7.10544731	7.035669289	6.852908793	7.125280265	7.181361235	6.847626518	6.970775567	7.081657432
"2932"	8.216363024	8.136264135	8.049108709	8.11961831	8.026511892	8.553313118	8.435685497	8.41151583	8.413376386	8.428957196	8.437026487	8.454637597
"29780"	9.125373499	9.290166636	9.436297723	9.430609273	9.203456909	9.11169749	9.179710888	9.258554341	9.136979073	9.138249807	9.156200089	9.295531938
"29895"	7.125180497	7.185324678	7.179766703	7.198411955	7.177656133	7.120275809	7.258686652	7.399085642	7.030707568	7.218977197	7.301521177	7.206601623
"3082"	4.047368732	4.020048464	4.091047377	3.918054965	3.783346983	3.722509315	3.729154641	3.927373743	3.831489598	3.938007457	3.886536648	3.877809781
"3265"	8.829692027	8.547920754	8.94212247	8.959496247	8.793439555	8.523438384	8.829427491	8.687217531	8.601220988	8.832900534	8.929610048	8.797403947
"329"	10.91028285	10.9382072	10.97160605	10.89638654	11.03082769	10.86488865	10.91233981	10.70383998	10.69554275	10.75040766	10.88431308	10.82312135
"330"	5.261069219	5.497589963	5.530057834	5.339838954	5.50324918	5.471697201	6.628726381	6.02263422	7.054593027	6.477789758	6.058359408	6.62186042
"331"	5.097651877	4.926882295	5.147182101	4.970571715	5.399865375	5.516058197	5.552499576	5.216436873	5.443712502	5.757835412	5.511965496	5.847025447
"3371"	3.715876817	3.807261224	3.439803404	3.704932278	3.769786037	3.62426291	3.581196743	3.765069749	3.662742382	3.743716298	3.597738429	3.727763451
"3381"	6.779770631	6.704665194	6.73507718	6.593919889	6.743648455	6.83188298	6.500245017	6.436828803	6.128940179	6.415944223	6.430918705	6.286308584
"3479"	5.028776449	4.84680528	4.791410948	4.839678142	4.786509207	4.982275282	4.989510283	4.985868916	4.826747857	4.938414506	4.991465219	4.994494057
"3480"	7.852050747	7.942200266	8.092778205	8.094524913	8.1789538	8.109381724	8.184273632	8.16831284	8.32928642	8.311990805	8.279006884	8.235847465
"3611"	10.98615361	10.84093644	10.96074446	10.99257642	11.00181135	10.97594013	10.8171698	10.84981404	10.83766004	10.97677659	11.01780678	10.93964181
"3655"	10.3337822	10.253733	10.34860854	10.3191075	10.46058167	10.38652246	10.52452989	10.44195371	10.70398943	10.75113754	10.78009483	10.53373419
"3672"	4.037475251	3.949711104	3.774478005	3.949581692	3.631650819	4.000043285	4.791732869	4.802228274	5.352289604	4.331500933	4.820785549	4.637868326
"3673"	8.432996648	8.396693029	8.397553427	8.331835092	8.419837545	8.507551676	8.770941378	8.766384309	9.128081834	8.897520372	8.68858339	8.960977855
"3674"	7.516633646	7.507629905	7.60612379	7.236980663	7.342572468	7.366215442	7.020285177	7.093962925	6.723746469	6.808151091	6.933609993	6.475687264
"3675"	9.356517357	9.258896757	9.391515061	9.340878202	9.040888404	8.855641764	8.632325362	8.701755617	8.867058572	8.736483663	8.647739664	8.794685313
"3676"	6.197670401	5.961287248	6.132523269	6.097994796	5.815800652	5.945713928	6.137465651	5.969743017	6.72121733	6.111622022	6.048644001	6.400909499
"3678"	12.07727594	12.04165473	12.17634313	12.07277021	11.9494477	11.923129	11.97957168	12.1106748	12.28561231	12.12997214	12.0404906	12.20511453
"3679"	6.800529906	6.893679882	6.585250196	6.305417321	6.603062435	6.225485821	6.647586182	6.635456047	6.43085933	6.332246799	6.344358511	6.586136849
"3680"	5.043751671	5.514671117	5.474735077	5.187809392	5.339586583	5.299460033	5.212331554	5.170992884	5.115145064	4.887945734	4.955547716	5.065067214
"3685"	10.98090235	11.03704847	11.15786089	11.12654573	11.10749194	10.66469394	11.23793922	11.1340586	11.4402028	11.22863816	11.20824697	11.23733516
"3688"	11.59683205	11.66251195	11.66094459	11.58583093	11.74075451	11.89218329	12.26108431	12.15547286	12.21163519	12.01944942	12.09979195	12.23731781
"3690"	7.075145319	6.90144006	6.521696402	7.131834205	7.014555344	7.124478673	8.301063196	8.18397428	8.223399756	8.4026724	8.233451332	8.393587246
"3691"	6.44426877	6.771144555	6.738320623	6.262987175	6.206584296	6.553970373	5.919877287	6.007244372	5.82803465	5.807452351	5.890948747	5.757411888
"3693"	7.77749064	7.883220442	7.823723943	7.599455245	7.53283539	7.584029782	7.276662851	7.397705918	7.186563189	7.36090424	7.178714736	7.42851178
"3695"	7.65625265	7.680818061	7.411522837	7.631679095	7.422073034	7.394482239	7.439502515	7.417180141	7.408428179	7.312519124	7.197852512	7.614890075
"3696"	4.26415814	4.4007555	4.385022101	4.216971176	4.156414213	4.306541751	4.436721596	4.578016733	4.397292162	4.475903128	4.485916355	4.394249569
"3725"	11.23603057	11.2803621	11.27328835	11.37223406	11.48160475	11.32977823	10.61769397	10.47631593	10.45277486	10.61626033	10.6491336	10.53789124
"3791"	10.13199503	10.01085365	10.06422294	10.14180384	9.979880805	9.834385915	10.65578472	10.3823786	10.74293189	10.50033926	10.42759521	10.55842421
"387"	12.65094929	12.56550259	12.53174334	12.4952802	12.51591156	12.53060439	12.47002662	12.46139511	12.36672828	12.25600086	12.37017467	12.39089023
"3908"	6.066052987	6.439329528	5.958250674	5.762808413	5.830778893	6.088397502	5.574212482	5.710731756	5.531381766	5.557065969	5.392144455	5.236585171
"3909"	5.625400778	5.887250544	5.714373281	5.367228108	5.728753333	5.76270584	5.520990209	5.512948979	5.30556625	5.46255096	5.449269881	5.155333201
"3910"	11.07727632	11.19463303	11.22296905	10.98530544	11.0473938	11.09779931	11.51257424	11.61603354	11.70939059	11.28923645	11.29053085	11.39965836
"3911"	9.000127705	9.159837414	9.223514857	8.925763046	9.065776867	9.006027759	8.528184112	8.671622672	8.629344277	8.520428896	8.569731561	8.64887575
"3912"	10.99975852	10.88881936	11.02712785	10.86691347	10.82758099	10.95708958	10.85515846	10.92171574	11.1879745	10.71544141	10.68927323	10.90412471
"3913"	8.595935393	8.572008161	8.72531042	8.457408311	8.466181321	8.681735013	8.760941689	8.783419515	9.001747452	8.641881435	8.567067245	8.875066919
"3914"	6.550940456	6.711255683	6.6525061	6.534843899	6.527268771	6.351998766	6.228139866	6.333937937	6.258729455	6.094288804	6.217260999	6.072280762
"3915"	10.62800844	10.635399	10.70910404	10.61225756	10.52375656	10.73291503	10.84949241	10.82003816	11.0925595	10.57073844	10.49456166	10.53728692
"3918"	7.409473087	7.097153834	7.090319853	7.272546892	7.002727588	6.853145983	8.441230241	8.406232835	8.784933401	8.212454011	8.112844179	8.465953089
"394"	5.887605062	5.638019378	5.831774667	5.693922181	5.567194661	5.596332009	5.963565457	6.135843	6.49283405	5.981994185	5.855768948	6.334193209
"399694"	4.179303927	4.453133258	4.238872106	4.209411312	4.394612221	4.252963866	6.802566162	6.256210338	6.718534113	6.311732695	6.653509606	6.915923566
"4233"	9.523609572	9.458388685	9.607797222	9.547619938	9.593399598	9.417771751	8.946376801	8.655322366	8.962383527	9.065313776	8.840532419	8.906531041
"4633"	6.23631939	6.321678689	6.28324497	5.884993115	6.180348271	6.048129945	6.783033344	6.554956755	6.397421588	6.725768399	7.109965436	6.577869836
"4636"	7.075182015	7.341245855	7.125959453	7.267260227	7.032218408	6.904159707	7.165915688	7.267933731	7.130840132	7.086984852	7.125980688	7.218865214
"4638"	4.400635668	4.320162477	4.302543021	4.164075771	4.310266661	4.337179628	4.133052004	4.170789427	4.191301634	4.087741536	3.825976744	4.053009843
"4659"	7.502207474	7.176357633	7.46698187	7.647784513	7.613202496	7.692350405	7.350365284	6.825820015	6.932607119	7.285862264	7.246911812	7.10155603
"50509"	5.640620463	6.193689444	5.772743602	5.864206618	5.812276813	6.035345855	5.827551317	5.890697949	5.875721971	5.971193659	5.859611033	6.210893204
"5058"	5.763840623	5.653473048	5.675865574	5.573711347	5.753791876	5.593637995	5.658990203	5.72584658	5.548299828	5.67156816	5.751484777	5.889769291
"5062"	7.063120014	6.633596421	6.870780513	6.984009127	6.75980175	6.842650893	6.969617493	6.962473562	7.101978041	6.802999671	6.743237202	7.054317549
"5063"	7.10287191	6.682834028	7.063013066	7.182752705	7.222830221	7.345637196	7.018766211	7.075519477	7.383698181	7.467109325	7.119848589	7.328891976
"5154"	8.885908034	8.843120931	8.743859241	9.044827136	8.965499478	8.915627562	10.50580824	10.64070622	10.58549605	10.30546295	10.4580664	10.52141146
"5155"	9.283096821	9.46061681	9.426943306	9.319523152	9.086336178	9.006304517	10.32776435	10.3980735	10.428996	10.37671121	10.42984844	10.43096235
"5156"	4.727512351	4.904484966	4.421610954	4.652160929	4.698473014	5.009603381	4.606669427	4.756404605	4.523773045	4.697448976	5.039876804	5.063781866
"5159"	6.278240994	6.469470518	6.50472413	6.219934582	6.178187277	6.537089399	6.128300938	6.169879972	5.761608896	6.002815759	6.002584608	5.940107181
"5170"	4.589575825	4.551487635	4.876041279	4.857416911	4.826991456	4.304944327	5.065063702	5.156850601	5.110791588	5.063864312	5.060179324	5.526302658
"5228"	8.547303403	8.388128833	8.348499722	8.56704104	8.630238197	8.66594073	10.03375276	10.07313748	10.18426634	10.15795297	10.25736976	10.1691939
"5290"	8.094254728	7.909020446	8.077726689	7.9430954	7.861945007	7.959804857	7.984910059	7.992856508	8.214913178	8.068701607	7.802038726	8.055906204
"5291"	7.734638352	7.545611403	7.759302088	7.902932525	7.75230899	7.682952607	7.999203078	7.857808377	8.136349099	8.004572132	8.001252128	8.184814853
"5293"	7.943957823	7.909601738	7.959515354	7.832471023	7.828688634	7.561228246	7.599958718	7.552799813	7.622288786	7.659242106	7.797818483	7.683489078
"5294"	4.710112683	4.465587413	4.658757779	4.545142039	4.740565141	4.591122836	4.648208877	4.844700076	4.784685141	4.957096278	4.833230129	4.966770475
"5295"	7.316684229	7.460442975	7.413647382	7.069969039	7.137108608	7.519667472	8.313655467	8.02246073	8.285905405	8.439699654	8.275297069	8.336336908
"5296"	8.731189997	8.834159968	8.721252035	8.701752309	8.715392741	8.774107052	8.651502241	8.736671084	8.705955449	8.648869524	8.593298704	8.750676359
"53358"	7.184074281	7.681339604	6.913069996	7.087059603	7.048375225	7.134442111	7.17330958	6.951858223	6.818965686	6.615816856	6.955692651	6.77538741
"5499"	10.69109165	10.65221505	10.69729219	10.77223166	10.73191516	10.71918664	10.79540006	10.73737478	10.758141	10.85366689	10.85005944	10.7829055
"5500"	8.634137636	7.890240246	8.413101078	8.856906958	8.835677757	8.582389921	8.779611397	8.552347626	8.855959112	9.044019182	8.994373859	8.805448781
"5501"	11.08660863	11.22970977	11.24985205	11.3002524	11.40141271	11.08697266	11.20071783	11.05214939	10.98523526	11.09945556	11.25511225	11.16479707
"55742"	6.212321909	6.028618614	6.103774758	6.108946726	6.251273741	6.172997308	6.283158882	6.479648453	6.353466479	6.354046236	6.322190705	6.270986046
"5578"	6.839415067	7.15482141	6.883928223	6.688412178	6.866189796	7.218383536	6.820565454	6.963702367	6.639113804	6.719635747	6.86210907	6.85012072
"5579"	3.862630582	4.135530139	4.120495472	4.165029579	4.011400228	4.450327575	4.215047426	4.314358783	3.833023361	4.150139002	3.940339765	4.021707584
"5582"	7.236165044	7.221383181	7.139442846	7.104553359	6.846785334	6.925670468	6.994394957	6.992035752	6.543496056	6.707592848	6.99715847	6.69328477
"5594"	6.909724697	6.722863902	6.673362493	6.960986763	6.94157321	6.842979673	7.200567411	7.272867177	7.144298058	6.88973715	7.049850053	7.309068315
"5595"	9.52701968	9.556485981	9.599354716	9.549645316	9.463709357	9.215668249	9.474923261	9.602231256	9.318295614	9.28538514	9.335652577	9.531536784
"5599"	6.946475153	6.99025617	7.24729131	7.182996268	7.147534344	7.228179884	7.160650258	7.225644383	7.311599818	7.150578929	7.143479434	7.180774352
"5601"	9.054041595	9.127112315	9.035168087	9.158026598	9.184301377	9.201186006	9.161856783	9.071733274	9.101878799	9.215328148	9.31646346	9.093497811
"5602"	7.027560452	7.017607178	6.917686453	7.049896058	7.06631929	7.031659879	7.14243689	7.169279283	7.01946901	7.205019291	7.370402602	7.453300736
"56034"	10.06255881	10.10292669	10.15767475	9.912911722	9.869441637	9.959198817	6.909393615	6.863012918	6.650836017	6.389503678	6.108359235	6.616624872
"5604"	10.82431928	10.82842548	10.85509842	10.9933745	10.98637798	10.89620715	11.83712151	11.82280171	11.93835576	11.92531761	11.96746849	11.85361963
"5649"	7.657899498	7.43435587	7.747059477	7.091490431	6.907535024	6.701546869	6.068094848	6.609018806	6.427933022	6.747297986	6.21674101	6.528558304
