"","p.geomean","stat.mean","p.val","q.val","set.size","GSM410672","GSM410673","GSM410674","GSM410675","GSM410676","GSM410677"
"hsa04510 Focal adhesion",0.000160485828652074,3.63635334254526,6.8659760715775e-19,1.11915409966713e-16,196,0.000144562687452203,0.000174891910536176,3.1601738793113e-05,0.000263970645466622,0.000178039200083768,0.000455000580765249
"hsa04512 ECM-receptor interaction",0.00119041322990508,3.0869796893239,6.41024190221587e-14,5.22434715030594e-12,82,0.000865543352405383,0.00124681092675408,0.000253348831573747,0.00359658669149777,0.000569082918334704,0.00508524703915529
"hsa04360 Axon guidance",0.00386211332496193,2.67251172560966,4.44775408735764e-11,2.41661305413099e-09,129,0.00989526595343474,0.00259358169416024,0.00587261423945869,0.0120582075089443,0.00292885258801766,0.000623463357225554
"hsa04010 MAPK signaling pathway",0.00697943399089107,2.46155909661569,9.58415494666374e-10,3.90554314076547e-08,256,0.0134687568997423,0.00595305978446754,0.00361973005363887,0.0159318354429676,0.00390695470340089,0.00639842516803682
"hsa04110 Cell cycle",0.0082038077192849,2.37457111430595,3.91018412781459e-09,1.27472002566756e-07,122,0.01180280370038,0.00110781074882786,0.00741096844954604,0.00371768776518208,0.0100953354143315,0.0838249781216757
"hsa04142 Lysosome",0.00906394155193213,2.35273839153921,5.46303606309182e-09,1.37518226225466e-07,116,0.0131428672884419,0.00194821621063715,0.0212784402437699,0.0235913532371787,0.0260602061324655,0.00165540709709418
"hsa04380 Osteoclast differentiation",0.00974173132279063,2.34404515981978,5.90569069679916e-09,1.37518226225466e-07,127,0.00352182013801658,0.0256158378249319,0.00967629403184941,0.0106058987780115,0.0116496522648039,0.00792449600895097
"hsa04630 Jak-STAT signaling pathway",0.0106809819629315,2.29578679319826,1.17399463659448e-08,2.39201407206125e-07,152,0.00796348780944538,0.0407438373477717,0.00638698044655994,0.00970925490853392,0.00257270775133511,0.0286833515741994
"hsa04810 Regulation of actin cytoskeleton",0.0127220310860117,2.23107217645796,2.6216022459819e-08,4.74801295661165e-07,209,0.0175060553624934,0.00738115326529363,0.0037162418309958,0.033211565268543,0.0152902138654286,0.017386786518393
"hsa04670 Leukocyte transendothelial migration",0.0174921398719694,2.11625472617469,1.40006107793181e-07,2.28209955702884e-06,113,0.0128918661817494,0.0143807571191214,0.0206892283141441,0.0368787781479646,0.0347422459055076,0.00582883017738249
"hsa04514 Cell adhesion molecules (CAMs)",0.020819196890901,2.03615807051711,3.5302811890254e-07,5.23123485282855e-06,129,0.0485512450225151,0.0093423970303187,0.0227852463238604,0.0372904489394113,0.0220288975603037,0.00959137873249999
"hsa04974 Protein digestion and absorption",0.0278900234212862,1.92092778621592,1.60286263912382e-06,2.17722175147652e-05,74,0.0527318443680651,0.0358990088138478,0.0328771531109164,0.0458913608688469,0.01280173939776,0.0128719318487037
"hsa04145 Phagosome",0.0313976395802052,1.85603946459358,2.99641827740689e-06,3.75704753244094e-05,142,0.0605375701250781,0.0196029568342851,0.070874033339917,0.0329808666220437,0.0195290032194734,0.017685043863042
"hsa04640 Hematopoietic cell lineage",0.0339788105628398,1.80454158251195,5.8516485317833e-06,6.81299079057627e-05,85,0.0311758246298589,0.0717542285063331,0.00555508528325391,0.0378965896545506,0.0266982367334184,0.122408096508927
"hsa04115 p53 signaling pathway",0.0368011218117191,1.79010995595084,6.86693367285847e-06,7.46206792450621e-05,67,0.0381347474686938,0.0310195551338619,0.104639278510741,0.0162207118359249,0.0411634579974921,0.0300561540796127
"hsa04972 Pancreatic secretion",0.0419317406931386,1.73148582953842,1.31155907829366e-05,0.000133615081101167,90,0.0463385790862756,0.0255366278643458,0.0215899508791919,0.0988541487068902,0.0604791717781902,0.0355875998349969
"hsa00600 Sphingolipid metabolism",0.0479848072138752,1.64619721162024,3.89960240215919e-05,0.000373903053854087,35,0.0878136904563021,0.0291115097706804,0.0426877190716936,0.191454733773149,0.0852378937849962,0.00685478438667218
"hsa04540 Gap junction",0.0521352097000505,1.61494656565691,4.26399854926822e-05,0.000386128757517066,86,0.0557901052598566,0.0422950258425048,0.0158345466119146,0.11304284473098,0.0468381191006863,0.101506093804806
"hsa04610 Complement and coagulation cascades",0.05707376175423,1.58169690730446,6.13929430104562e-05,0.000526686826879177,67,0.0368654937626923,0.029491568240651,0.0631573366255566,0.0511693549427552,0.0840253255655322,0.117073098449982
"hsa04144 Endocytosis",0.0597171490445017,1.54496856285516,7.98871991677047e-05,0.000650574955534304,192,0.100559135931403,0.0735000142735104,0.0378188710212857,0.101561061287519,0.0731788269251565,0.0218305262571936
"hsa04062 Chemokine signaling pathway",0.0609474330954263,1.54097414550134,8.38164053142354e-05,0.000650574955534304,181,0.0997720663151239,0.0503465657194655,0.0798604209046164,0.0556636911566275,0.0874042737706825,0.0262613732502516
"hsa04621 NOD-like receptor signaling pathway",0.0637444428348438,1.49582589107691,0.000143508164354804,0.0010632650359015,57,0.0356161781421742,0.245292509121138,0.104263333388527,0.0181380315042746,0.0476364751331707,0.0852434465047628
"hsa04350 TGF-beta signaling pathway",0.0721733498145034,1.45959648472415,0.000188037154561555,0.00132611746372244,80,0.0493570164546765,0.129185751435225,0.0564414681448726,0.0511914582100967,0.0927455368220834,0.0827196789033906
"hsa04320 Dorso-ventral axis formation",0.0733234961405443,1.48723326380139,0.000195256559075697,0.00132611746372244,23,0.0943930266822659,0.0632200681350718,0.0487815354588716,0.0833108272232178,0.0972421712831703,0.0658950140030023
"hsa04971 Gastric acid secretion",0.0748608909775867,1.44454133378539,0.000227309126119113,0.00148205550229662,70,0.0804552504601053,0.0835177269999737,0.0468230939026178,0.126857610155044,0.0998797301530635,0.0441512394519289
"hsa04614 Renin-angiotensin system",0.076257710527205,1.46168739049032,0.000259088182785759,0.00162428360746457,17,0.0909792197152352,0.0316603114293904,0.0796576728129839,0.112934303607895,0.132740532359096,0.0571726254789085
"hsa04114 Oocyte meiosis",0.0800387770299248,1.39868067744797,0.00032058435311538,0.00193537961325211,108,0.0763653379253179,0.0543050080617792,0.0401522767440297,0.117747340076167,0.108806856668285,0.123239225135605
"hsa00280 Valine, leucine and isoleucine degradation",0.0685661533921299,1.40554849512281,0.000336546696342578,0.00195918255370858,44,0.0493747787640494,0.375145360451123,0.201396161236196,0.012032654717957,0.0220939479035959,0.104777493407322
"hsa04960 Aldosterone-regulated sodium reabsorption",0.0831762229257897,1.38019649090811,0.000408624299871266,0.0022967503751385,41,0.120668952761259,0.0413513535189689,0.0861437249124156,0.103663435995302,0.168155595131571,0.0441925770030688
"hsa04620 Toll-like receptor signaling pathway",0.0920205444686187,1.31565851197053,0.000664028865759382,0.00360789017062597,97,0.0572031970949321,0.0974758325887128,0.211771995027892,0.0667256161278106,0.0590378610598315,0.130526832944294
"hsa00561 Glycerolipid metabolism",0.0996504427955181,1.2834718049225,0.00091622874145942,0.00481758983412534,50,0.139345579998057,0.150185924857244,0.125253060186576,0.0873009637717529,0.0930058164448706,0.046008224415977
