Gene	GSM410666	GSM410667	GSM410668	GSM410669	GSM410670	GSM410671	GSM410672	GSM410673	GSM410674	GSM410675	GSM410676	GSM410677
"3690"	7.075145319	6.90144006	6.521696402	7.131834205	7.014555344	7.124478673	8.301063196	8.18397428	8.223399756	8.4026724	8.233451332	8.393587246
"3918"	7.409473087	7.097153834	7.090319853	7.272546892	7.002727588	6.853145983	8.441230241	8.406232835	8.784933401	8.212454011	8.112844179	8.465953089
"961"	9.801538385	9.671845867	9.78145788	10.06435475	9.904673121	10.0373269	10.86119034	10.74134109	10.83990284	10.81960193	10.92169685	10.85907152
"3339"	7.740952778	7.415810178	8.18614885	8.021463015	7.923101569	7.37052238	8.72011423	8.879272604	8.6466166	8.580257851	8.723449307	8.867963721
"3672"	4.037475251	3.949711104	3.774478005	3.949581692	3.631650819	4.000043285	4.791732869	4.802228274	5.352289604	4.331500933	4.820785549	4.637868326
"8516"	4.72418622	4.6312576	4.640871979	4.517159795	4.645798086	4.577905587	5.188277798	5.526853647	5.624456609	5.456973048	5.386867193	5.635362342
"1282"	12.4958718	12.63251188	12.61019814	12.17692379	12.28468822	12.18326344	13.23711722	13.22469151	13.32940577	12.97608055	13.03603728	13.15040337
"1284"	12.63038173	12.65845567	12.79792136	12.28817683	12.36511864	12.1231567	13.26522587	13.32844856	13.39967665	13.12415457	13.08368272	13.23122826
"1292"	6.186649881	6.184863887	6.124759477	6.119715683	6.089539523	6.29412513	6.962394269	7.071204174	6.943774606	6.399685252	6.83408074	7.046498501
"3688"	11.59683205	11.66251195	11.66094459	11.58583093	11.74075451	11.89218329	12.26108431	12.15547286	12.21163519	12.01944942	12.09979195	12.23731781
"1291"	7.225068856	7.04873277	7.276286	7.232318511	6.977798967	6.709371789	7.516713757	7.602051317	7.765757937	7.276047629	7.410120709	7.648538595
"3673"	8.432996648	8.396693029	8.397553427	8.331835092	8.419837545	8.507551676	8.770941378	8.766384309	9.128081834	8.897520372	8.68858339	8.960977855
"2814"	3.591366391	3.693013461	3.527684245	3.820830735	3.976092393	3.994841803	4.184407794	4.23319551	3.979037374	4.286061547	4.077322759	4.342621937
"1287"	9.69211033	9.884731318	9.824509041	9.788086734	9.873868089	10.01649579	9.553990859	9.545792789	9.625618743	9.187876569	9.224471238	9.46200209
"3911"	9.000127705	9.159837414	9.223514857	8.925763046	9.065776867	9.006027759	8.528184112	8.671622672	8.629344277	8.520428896	8.569731561	8.64887575
"8515"	9.264028306	8.797546316	9.33852554	8.766114352	8.927841061	8.889030444	8.462398459	8.700034483	8.633894633	8.391695019	8.488596134	8.457496297
"3675"	9.356517357	9.258896757	9.391515061	9.340878202	9.040888404	8.855641764	8.632325362	8.701755617	8.867058572	8.736483663	8.647739664	8.794685313
"1289"	7.616024644	7.562364883	7.600812754	7.385631525	7.223673683	7.618376789	7.118532467	7.047224419	6.856495666	7.24558748	6.645496154	6.951005399
"3908"	6.066052987	6.439329528	5.958250674	5.762808413	5.830778893	6.088397502	5.574212482	5.710731756	5.531381766	5.557065969	5.392144455	5.236585171
"3674"	7.516633646	7.507629905	7.60612379	7.236980663	7.342572468	7.366215442	7.020285177	7.093962925	6.723746469	6.808151091	6.933609993	6.475687264
"3691"	6.44426877	6.771144555	6.738320623	6.262987175	6.206584296	6.553970373	5.919877287	6.007244372	5.82803465	5.807452351	5.890948747	5.757411888
"5649"	7.657899498	7.43435587	7.747059477	7.091490431	6.907535024	6.701546869	6.068094848	6.609018806	6.427933022	6.747297986	6.21674101	6.528558304
"3161"	8.895913973	8.935175827	8.88392722	9.321860985	9.618186682	9.398813067	8.329639651	7.873547649	8.138717162	8.629204506	8.694135473	8.419819334
"7057"	11.27849047	11.34769259	11.15017276	11.06963139	11.13842368	11.99158469	10.48912012	10.37600982	10.41449092	10.13244372	10.03443153	10.32781463
"7450"	10.320994	10.17787161	10.61736173	9.49840152	9.43521926	9.189403031	9.045427997	9.200776472	9.349198511	8.175007815	8.269481262	8.940465757
"2335"	6.544510157	6.338707576	6.049070458	5.675756467	6.065669981	6.11422668	5.046495831	4.97941747	4.884848698	5.139753615	4.923070935	4.917014374
"948"	6.391740564	6.31404714	6.294290604	5.613474604	5.200862583	5.849848797	4.567047114	4.651670435	4.502061332	4.498394479	4.490431741	4.512160749
"6383"	9.225930574	9.121290335	9.113451058	8.685931982	8.722295593	8.837422351	7.002266488	7.055012422	7.110084353	7.010525959	7.078798692	7.24110616
"1290"	10.00942598	10.0674335	10.03363687	9.674527877	9.627195931	9.946058714	7.745331026	7.982182605	8.153720772	7.512752532	7.39253474	7.93132494
"1278"	11.10427036	11.01216309	11.18553414	10.22599277	10.22201847	10.50725289	7.32898194	7.685757527	7.584629696	7.287736514	7.352060492	7.385893943
